"sex","age","pstatus","medu","fedu","guardian","traveltime","studytime","failures","freetime","famrel","absences"
"M",15,"T",4,4,"mother",1,2,"0",2,3,"No"
"M",15,"T",1,2,"father",1,2,"0",3,4,"No"
"F",16,"T",4,2,"mother",1,2,"0",2,4,"No"
"F",16,"T",4,4,"mother",1,2,"0",4,2,"No"
"F",16,"T",1,1,"father",4,1,"0",5,5,"No"
"F",16,"T",1,2,"father",1,2,"0",4,4,"No"
"F",16,"T",4,3,"mother",1,3,"0",4,3,"No"
"F",15,"T",4,3,"father",1,2,"0",4,4,"Yes"
"F",16,"T",4,3,"mother",3,2,"0",4,5,"No"
"M",15,"A",4,4,"mother",1,4,"T",3,1,"No"
"F",16,"T",3,1,"mother",1,4,"0",3,4,"No"
"F",15,"T",2,2,"mother",2,2,"0",1,4,"No"
"F",15,"T",3,1,"father",2,4,"0",4,4,"No"
"M",16,"T",3,1,"father",2,4,"0",3,4,"Yes"
"M",15,"T",4,2,"mother",1,4,"0",3,3,"Yes"
"F",15,"T",1,1,"mother",1,2,"2",3,3,"No"
"M",16,"T",3,1,"mother",1,1,"0",3,5,"No"
"F",16,"T",3,3,"mother",1,2,"0",3,4,"No"
"M",15,"T",4,3,"mother",1,2,"0",3,4,"No"
"M",15,"T",4,0,"mother",2,4,"0",4,3,"No"
"F",16,"T",2,2,"mother",1,4,"0",2,5,"Yes"
"M",17,"T",2,1,"mother",2,1,"3",5,4,"No"
"F",16,"T",3,4,"mother",1,2,"0",4,2,"No"
"M",15,"T",2,3,"father",1,1,"0",2,3,"No"
"M",15,"T",2,3,"mother",1,3,"0",3,5,"No"
"F",15,"T",3,2,"mother",1,2,"A",4,4,"No"
"M",15,"T",2,2,"mother",2,2,"0",3,5,"No"
"F",15,"T",1,1,"father",1,2,"0",3,4,"No"
"F",15,"T",4,4,"father",2,2,"2",4,4,"No"
"F",16,"T",2,2,"mother",1,2,"0",3,4,"No"
"F",15,"T",4,2,"mother",1,3,"0",3,5,"No"
"M",16,"T",2,2,"father",2,2,"1",4,4,"No"
"M",16,"A",4,4,"mother",1,2,"0",1,4,"No"
"F",16,"T",3,3,"mother",1,3,"0",3,4,"Yes"
"F",15,"T",4,3,"mother",1,1,"0",5,4,"No"
"F",16,"T",3,1,"father",1,2,"0",3,3,"No"
"F",16,"T",4,2,"mother",2,2,"0",3,5,"Yes"
"M",15,"T",2,2,"mother",1,4,"0",3,4,"No"
"F",15,"T",1,1,"mother",2,4,"1",1,3,"No"
"M",16,"T",4,3,"mother",2,1,"0",3,3,"No"
"F",16,"T",2,1,"mother",1,2,"0",3,4,"No"
"F",16,"T",4,4,"mother",1,1,"0",3,5,"No"
"F",16,"T",4,3,"mother",1,3,"T",3,5,"Yes"
"M",16,"T",4,4,"mother",1,1,"0",5,4,"No"
"M",16,"T",4,4,"father",1,3,"0",4,4,"Yes"
"M",15,"T",4,4,"mother",1,1,"0",3,5,"No"
"F",15,"T",3,2,"mother",2,2,"0",3,4,"No"
"M",15,"A",3,4,"mother",1,2,"0",4,5,"Yes"
"F",15,"A",3,3,"father",1,4,"0",3,4,"No"
"F",15,"T",2,2,"mother",1,4,"T",1,5,"No"
"M",16,"T",3,3,"father",1,3,"0",3,5,"No"
"M",15,"T",4,4,"father",4,4,"0",3,1,"No"
"F",16,"T",4,4,"mother",1,3,"0",4,5,"No"
"M",15,"A",4,4,"mother",1,1,"0",5,5,"No"
"F",16,"T",3,3,"father",1,3,"1",1,4,"Yes"
"F",16,"T",2,2,"mother",1,2,"1",1,3,"No"
"M",15,"T",4,2,"mother",1,1,"0",5,3,"No"
"M",15,"T",2,1,"mother",1,2,"0",4,5,"No"
"M",16,"T",4,4,"father",1,2,"0",4,5,"No"
"M",15,"T",4,4,"father",2,2,"0",4,4,"No"
"M",16,"T",3,3,"father",2,1,"0",4,5,"Yes"
"M",17,"T",1,3,"father",3,2,"1",2,5,"No"
"M",15,"T",3,4,"father",1,1,"0",4,3,"No"
"F",15,"T",1,2,"mother",1,2,"0",2,3,"No"
"M",15,"T",2,2,"father",1,4,"0",5,5,"No"
"F",16,"T",2,4,"father",2,2,"T",2,4,"No"
"M",16,"T",4,4,"mother",1,1,"0",4,3,"No"
"F",16,"T",2,2,"mother",1,2,"0",4,5,"Yes"
"M",15,"T",3,4,"father",1,1,"0",5,5,"Yes"
"F",15,"A",3,4,"mother",1,2,"0",3,5,"Yes"
"F",19,"T",0,1,"other",1,2,"3",4,3,"No"
"M",18,"T",2,2,"mother",1,1,"2",3,3,"Yes"
"M",16,"T",4,4,"mother",1,1,"0",5,3,"No"
"F",15,"T",3,4,"father",2,3,"2",2,4,"Yes"
"F",15,"T",1,1,"mother",3,1,"0",3,4,"Yes"
"F",17,"T",2,2,"father",1,1,"0",4,3,"No"
"F",16,"A",3,4,"father",1,1,"0",2,3,"No"
"M",15,"T",3,4,"mother",4,2,"T",3,5,"Yes"
"F",15,"T",4,4,"mother",1,3,"0",3,4,"Yes"
"M",17,"T",3,4,"mother",3,2,"0",4,5,"Yes"
"F",16,"A",3,3,"other",2,1,"2",3,4,"Yes"
"M",16,"T",1,1,"mother",1,2,"1",4,4,"Yes"
"F",15,"T",4,4,"mother",2,1,"0",3,4,"Yes"
"M",15,"T",4,3,"father",2,4,"0",2,2,"Yes"
"M",16,"T",2,2,"father",2,1,"2",3,2,"No"
"F",15,"T",4,4,"mother",1,3,"0",2,4,"No"
"F",16,"T",1,1,"mother",1,1,"0",4,3,"No"
"M",17,"T",2,1,"mother",1,1,"3",4,5,"Yes"
"F",15,"T",1,1,"father",1,2,"T",4,4,"Yes"
"F",15,"T",3,2,"father",1,2,"3",3,3,"Yes"
"F",15,"T",1,2,"mother",1,2,"0",3,4,"No"
"M",16,"T",4,4,"mother",1,1,"0",3,3,"Yes"
"M",15,"A",2,1,"mother",4,1,"3",5,4,"Yes"
"M",18,"T",1,1,"mother",1,1,"3",3,2,"Yes"
"M",16,"T",2,1,"mother",1,1,"1",4,4,"No"
"F",15,"T",3,3,"other",2,3,"2",2,4,"No"
"M",19,"T",3,2,"mother",1,1,"3",5,4,"Yes"
"F",17,"T",4,4,"mother",1,1,"0",2,4,"Yes"
"M",15,"T",2,3,"mother",1,2,"0",4,4,"No"
"M",17,"T",1,2,"mother",1,1,"0",2,2,"No"
"F",18,"T",1,1,"mother",3,1,"3",2,5,"No"
"M",16,"T",2,2,"mother",3,1,"0",2,4,"No"
"M",16,"T",3,3,"father",1,2,"1",5,4,"No"
"M",17,"T",2,1,"mother",2,1,"2",3,3,"Yes"
"M",15,"T",3,2,"mother",2,2,"2",4,4,"No"
"M",16,"T",1,2,"mother",2,1,"1",4,4,"Yes"
"M",17,"T",1,3,"father",1,1,"0",3,5,"No"
"M",17,"T",1,1,"mother",4,2,"3",3,5,"Yes"
"M",16,"T",3,2,"mother",2,1,"1",5,4,"No"
"M",16,"T",2,2,"father",1,2,"0",3,4,"No"
"F",16,"T",4,2,"father",1,2,"0",2,4,"Yes"
"F",16,"T",2,2,"mother",1,2,"0",1,5,"Yes"
"F",16,"T",4,4,"mother",1,2,"0",4,4,"Yes"
"M",16,"T",3,4,"father",3,1,"2",4,3,"Yes"
"M",16,"T",1,0,"mother",2,2,"0",3,4,"No"
"M",17,"T",4,4,"mother",1,2,"0",4,4,"Yes"
"F",16,"T",1,3,"mother",1,2,"3",3,4,"Yes"
"F",16,"T",3,3,"mother",2,2,"0",4,4,"No"
"M",17,"T",4,3,"mother",2,2,"A",4,4,"No"
"F",16,"T",2,2,"mother",2,2,"0",4,3,"No"
"M",17,"T",3,3,"father",1,2,"0",3,4,"No"
"M",16,"T",4,2,"mother",1,1,"T",3,4,"No"
"M",17,"T",4,3,"mother",1,2,"0",2,5,"No"
"M",16,"T",4,3,"mother",1,2,"0",4,3,"No"
"M",16,"T",3,3,"mother",1,2,"0",2,4,"No"
"F",17,"T",2,4,"father",1,2,"0",4,5,"Yes"
"F",17,"T",3,3,"mother",1,2,"0",3,5,"No"
"F",16,"T",3,2,"mother",1,2,"0",2,1,"No"
"M",17,"T",3,3,"mother",1,2,"0",3,4,"No"
"M",16,"T",1,2,"mother",1,1,"0",3,3,"No"
"M",16,"T",2,1,"mother",1,2,"0",2,4,"Yes"
"F",17,"A",3,3,"mother",1,2,"0",3,3,"No"
"M",17,"T",1,2,"mother",1,2,"0",1,3,"No"
"F",16,"T",2,3,"mother",1,2,"0",3,4,"No"
"F",17,"T",1,1,"mother",1,2,"0",3,5,"Yes"
"M",17,"T",1,2,"other",2,2,"T",4,4,"No"
"M",16,"T",3,3,"mother",1,1,"0",3,4,"No"
"M",16,"T",2,3,"father",2,1,"0",3,5,"Yes"
"F",17,"T",2,4,"father",1,2,"0",3,4,"Yes"
"M",17,"T",4,4,"mother",1,1,"0",2,5,"No"
"M",16,"T",3,3,"father",3,1,"0",3,3,"No"
"F",17,"T",4,4,"mother",2,1,"1",2,4,"No"
"F",16,"T",4,4,"mother",1,2,"0",5,4,"Yes"
"F",16,"T",4,3,"mother",1,2,"0",3,4,"No"
"F",16,"T",2,3,"mother",1,2,"0",4,4,"No"
"F",17,"T",1,1,"mother",1,2,"0",4,4,"No"
"F",17,"T",2,2,"mother",1,1,"0",3,5,"No"
"F",16,"T",2,2,"mother",2,4,"0",3,5,"No"
"F",17,"T",3,4,"mother",1,3,"1",4,4,"No"
"F",16,"A",3,1,"mother",1,2,"3",3,2,"No"
"F",16,"T",4,3,"mother",1,2,"0",3,1,"No"
"F",16,"T",1,1,"mother",2,1,"0",3,4,"No"
"F",17,"T",4,3,"mother",2,3,"0",4,4,"No"
"F",19,"T",3,3,"other",1,4,"0",3,4,"No"
"M",17,"T",4,4,"mother",1,2,"0",3,5,"No"
"F",16,"A",2,2,"mother",1,2,"0",3,3,"Yes"
"M",18,"T",2,2,"mother",1,2,"1",4,4,"No"
"F",17,"T",4,4,"mother",1,1,"0",2,5,"No"
"F",17,"T",3,2,"mother",2,2,"0",4,4,"No"
"F",17,"T",4,3,"mother",1,2,"2",4,3,"No"
"M",18,"T",3,3,"father",1,2,"1",2,3,"No"
"F",17,"T",2,3,"father",2,1,"A",3,3,"No"
"F",17,"T",2,2,"mother",1,3,"0",3,4,"No"
"F",17,"T",2,1,"mother",2,2,"0",2,4,"No"
"F",17,"T",1,1,"mother",1,3,"1",3,4,"Yes"
"F",16,"T",2,3,"mother",1,2,"0",3,2,"No"
"M",18,"T",2,2,"mother",2,2,"0",3,3,"Yes"
"F",16,"T",4,4,"mother",1,3,"0",3,5,"Yes"
"F",18,"T",3,1,"mother",1,2,"1",3,5,"No"
"F",17,"T",3,2,"mother",1,2,"0",3,5,"No"
"M",17,"T",2,3,"father",1,2,"0",3,5,"No"
"M",18,"T",2,1,"mother",4,2,"0",3,4,"No"
"F",17,"A",2,1,"mother",2,3,"0",2,3,"No"
"F",17,"T",4,3,"father",1,2,"0",2,3,"No"
"M",17,"T",2,2,"father",2,2,"0",5,4,"No"
"M",17,"T",4,4,"mother",1,2,"0",5,4,"No"
"M",16,"T",4,4,"father",1,2,"0",2,4,"No"
"M",16,"T",1,1,"mother",2,2,"0",4,3,"No"
"M",16,"T",3,2,"mother",2,3,"0",3,5,"No"
"M",17,"T",2,2,"father",1,2,"A",4,4,"No"
"F",16,"T",2,1,"mother",1,1,"0",5,4,"No"
"F",17,"T",2,1,"mother",3,2,"0",1,2,"No"
"M",18,"T",2,2,"father",1,2,"1",5,5,"Yes"
"M",17,"T",4,3,"mother",2,2,"0",5,2,"No"
"M",17,"A",4,4,"mother",2,2,"0",3,3,"No"
"M",16,"T",4,3,"mother",1,1,"0",4,5,"Yes"
"M",16,"T",4,4,"mother",1,1,"0",3,5,"Yes"
"F",18,"T",2,1,"other",2,3,"T",4,4,"Yes"
"M",16,"T",2,1,"mother",3,1,"0",3,4,"No"
"M",17,"T",2,3,"father",2,1,"0",2,5,"No"
"M",22,"T",3,1,"mother",1,1,"3",4,5,"No"
"M",18,"T",3,3,"mother",1,2,"1",3,4,"No"
"M",16,"T",0,2,"mother",1,1,"0",3,4,"Yes"
"M",18,"T",3,2,"mother",2,1,"1",4,4,"Yes"
"M",16,"T",3,3,"other",3,2,"0",3,5,"No"
"M",18,"T",2,1,"mother",1,1,"1",2,3,"No"
"M",16,"T",2,1,"mother",2,1,"0",3,3,"Yes"
"M",17,"T",2,1,"mother",1,1,"0",4,4,"Yes"
"M",17,"T",1,1,"mother",2,1,"1",4,4,"No"
"F",17,"T",4,2,"mother",1,4,"0",2,4,"No"
"M",19,"A",4,3,"mother",1,2,"0",3,4,"No"
"M",18,"T",2,1,"mother",1,2,"0",2,5,"No"
"F",17,"T",2,2,"father",1,4,"0",4,3,"Yes"
"F",18,"T",4,3,"father",1,2,"T",1,3,"No"
"M",18,"T",4,3,"mother",1,2,"0",3,4,"No"
"M",18,"T",3,2,"mother",1,3,"0",3,5,"No"
"F",17,"T",3,3,"mother",1,3,"0",2,3,"No"
"F",18,"T",2,2,"mother",1,3,"0",3,4,"Yes"
"M",18,"A",3,4,"mother",2,2,"0",2,4,"No"
"M",17,"T",3,1,"mother",1,2,"0",4,5,"No"
"F",18,"T",4,4,"mother",2,2,"0",3,4,"No"
"M",18,"T",4,2,"father",1,2,"0",4,5,"No"
"F",18,"T",2,1,"mother",2,2,"0",3,4,"Yes"
"F",19,"T",3,3,"other",1,2,"2",3,4,"No"
"F",18,"T",2,3,"father",1,4,"0",5,4,"No"
"F",18,"T",1,1,"mother",2,2,"0",4,4,"No"
"M",17,"T",1,2,"mother",1,2,"0",5,3,"No"
"F",17,"T",2,4,"mother",2,2,"0",3,4,"No"
"F",17,"T",2,2,"mother",2,2,"0",4,4,"No"
"F",18,"A",3,2,"mother",2,2,"A",1,4,"No"
"M",18,"T",4,4,"mother",2,1,"0",2,3,"No"
"F",18,"T",4,4,"father",1,2,"1",4,2,"No"
"M",18,"T",4,3,"mother",2,1,"0",2,4,"No"
"M",17,"A",4,1,"mother",2,1,"0",5,4,"No"
"M",17,"A",3,2,"mother",1,1,"1",4,4,"No"
"F",18,"T",1,1,"mother",2,4,"0",2,5,"No"
"F",18,"T",1,1,"mother",2,2,"0",4,5,"No"
"F",17,"T",2,2,"mother",1,2,"0",4,5,"No"
"M",17,"T",1,1,"father",1,2,"T",3,4,"No"
"F",18,"T",2,2,"mother",1,3,"0",3,4,"No"
"F",17,"T",1,1,"mother",1,3,"0",3,4,"No"
"M",18,"T",2,1,"mother",1,3,"0",2,4,"No"
"M",18,"A",4,4,"mother",1,2,"0",4,5,"No"
"M",18,"T",4,2,"mother",1,2,"0",3,4,"No"
"F",17,"T",4,3,"mother",1,3,"0",2,4,"Yes"
"F",18,"T",2,1,"mother",1,2,"1",4,5,"No"
"F",17,"T",3,1,"mother",2,4,"0",1,3,"No"
"M",18,"T",3,2,"mother",2,3,"0",4,5,"No"
"M",17,"T",3,3,"mother",1,1,"0",4,4,"No"
"F",19,"T",4,4,"other",2,2,"0",3,2,"Yes"
"F",18,"T",4,3,"other",2,2,"0",4,4,"No"
"F",18,"T",4,3,"father",1,4,"A",3,4,"Yes"
"M",18,"T",4,4,"mother",1,1,"0",4,1,"No"
"F",18,"A",4,4,"mother",1,2,"0",2,4,"No"
"M",17,"T",4,4,"father",2,1,"0",1,4,"Yes"
"F",17,"T",4,2,"mother",2,3,"0",3,4,"Yes"
"F",17,"T",3,2,"father",1,4,"0",2,5,"Yes"
"M",19,"T",3,3,"other",1,2,"1",4,4,"No"
"F",18,"T",2,4,"other",1,2,"1",4,4,"No"
"M",20,"A",3,2,"other",1,1,"0",5,5,"Yes"
"M",19,"T",4,4,"other",2,1,"1",3,4,"No"
"M",19,"T",3,3,"father",1,2,"1",5,4,"Yes"
"F",19,"T",1,1,"other",1,2,"1",4,4,"No"
"F",19,"T",1,2,"other",1,2,"1",2,4,"Yes"
"F",19,"T",2,1,"other",3,2,"0",4,3,"No"
"M",19,"T",1,2,"other",1,2,"1",5,4,"No"
"F",19,"T",3,2,"other",2,2,"1",2,4,"No"
"F",19,"T",1,1,"other",1,3,"2",1,4,"No"
"F",19,"T",2,3,"other",1,3,"1",1,4,"No"
"F",18,"T",2,1,"mother",2,2,"0",3,5,"Yes"
"F",18,"T",4,3,"mother",1,3,"0",3,4,"No"
"F",17,"T",3,4,"father",1,3,"0",3,4,"Yes"
"F",18,"T",4,4,"mother",1,2,"0",4,4,"No"
"F",17,"A",4,3,"mother",1,2,"0",2,5,"No"
"F",17,"T",2,2,"mother",1,2,"0",2,4,"No"
"F",17,"T",2,2,"mother",1,3,"0",3,3,"No"
"F",17,"T",3,1,"father",1,3,"0",4,3,"No"
"F",17,"T",0,2,"father",2,3,"0",3,3,"Yes"
"M",18,"T",4,4,"mother",1,3,"0",3,4,"No"
"M",17,"T",3,3,"mother",1,1,"A",3,4,"No"
"M",17,"T",2,2,"mother",4,1,"0",4,4,"No"
"F",17,"T",4,4,"mother",1,3,"0",4,5,"No"
"F",17,"T",4,4,"mother",2,3,"0",3,4,"No"
"M",18,"T",2,2,"mother",1,4,"0",5,4,"No"
"F",17,"T",2,4,"father",1,3,"0",4,4,"No"
"F",18,"T",3,3,"mother",1,2,"T",3,5,"Yes"
"F",18,"T",2,2,"other",1,2,"0",3,4,"Yes"
"F",18,"T",2,2,"mother",2,4,"0",4,4,"Yes"
"F",17,"T",3,4,"mother",1,3,"0",4,4,"No"
"F",19,"A",3,1,"other",1,3,"1",4,5,"No"
"F",17,"T",3,2,"mother",1,2,"0",3,4,"Yes"
"F",18,"T",3,3,"mother",1,4,"0",3,5,"No"
"F",17,"A",3,2,"mother",1,2,"0",3,4,"No"
"F",19,"T",2,1,"other",1,3,"1",3,4,"No"
"M",18,"T",4,4,"father",1,2,"1",3,4,"Yes"
"M",18,"T",3,4,"mother",1,2,"0",3,4,"No"
"F",17,"A",2,2,"father",1,2,"1",3,3,"Yes"
"F",18,"T",2,3,"mother",1,3,"0",3,4,"No"
"F",18,"T",3,2,"mother",1,3,"A",4,5,"No"
"M",18,"T",4,3,"mother",1,3,"0",3,5,"No"
"M",18,"T",4,3,"mother",1,3,"0",4,5,"Yes"
"F",17,"T",4,3,"mother",1,3,"0",4,4,"Yes"
"M",18,"T",3,2,"mother",2,1,"1",5,2,"No"
"M",19,"T",1,1,"other",3,2,"3",4,5,"No"
"M",17,"T",3,3,"mother",2,2,"0",5,4,"No"
"M",18,"T",1,3,"mother",1,1,"1",3,4,"No"
"M",19,"T",1,1,"other",3,1,"1",4,4,"No"
"M",17,"T",4,3,"mother",2,2,"T",5,4,"No"
"F",18,"T",3,3,"father",1,2,"0",3,5,"Yes"
"F",17,"T",4,4,"father",2,2,"0",3,4,"No"
"F",17,"A",3,2,"mother",2,2,"0",2,1,"No"
"M",18,"T",1,1,"father",2,1,"0",3,3,"No"
"F",18,"T",1,1,"father",2,3,"0",3,5,"Yes"
"F",18,"A",1,4,"mother",3,2,"0",3,4,"Yes"
"M",18,"T",1,1,"mother",2,2,"1",4,4,"No"
"F",18,"T",3,3,"mother",2,2,"0",3,4,"Yes"
"F",17,"T",4,4,"mother",1,2,"0",3,2,"Yes"
"F",17,"T",1,2,"father",2,2,"A",2,3,"Yes"
"M",18,"T",1,3,"mother",2,2,"0",3,3,"No"
"M",18,"T",4,4,"mother",2,3,"0",2,4,"Yes"
"F",17,"T",1,1,"mother",3,1,"1",2,5,"Yes"
"F",18,"T",2,3,"father",2,1,"0",2,5,"Yes"
"F",18,"T",4,4,"father",3,2,"0",2,3,"No"
"F",19,"T",3,2,"other",2,2,"2",2,3,"No"
"M",18,"T",1,2,"father",3,1,"0",3,4,"No"
"F",17,"T",2,2,"mother",1,3,"0",4,3,"No"
"F",17,"T",1,2,"mother",1,1,"0",5,3,"No"
"F",18,"T",4,4,"mother",2,3,"0",4,5,"Yes"
"F",18,"T",1,1,"mother",4,3,"0",3,4,"No"
"F",20,"T",4,2,"other",2,3,"2",4,5,"No"
"F",18,"T",4,4,"mother",1,2,"0",4,5,"No"
"F",18,"T",3,3,"mother",1,2,"0",1,4,"Yes"
"F",17,"T",3,1,"mother",1,2,"0",5,4,"No"
"M",18,"T",4,4,"father",1,2,"T",2,3,"No"
"M",18,"T",2,1,"mother",2,1,"0",4,4,"No"
"M",17,"T",2,3,"father",2,2,"0",4,4,"No"
"M",19,"T",1,1,"mother",2,1,"1",3,4,"Yes"
"M",18,"T",4,2,"father",2,1,"1",4,5,"No"
"F",18,"T",2,2,"mother",2,3,"0",3,5,"No"
"F",18,"T",4,4,"mother",3,1,"0",4,4,"No"
"F",19,"T",2,3,"mother",1,3,"1",4,5,"Yes"
"F",18,"T",3,1,"mother",1,2,"0",3,4,"Yes"
"F",18,"T",1,1,"mother",2,2,"1",1,1,"Yes"
"M",20,"A",2,2,"other",1,2,"2",5,5,"No"
"M",17,"T",3,1,"mother",2,1,"0",4,2,"No"
"M",21,"T",1,1,"other",1,1,"3",5,5,"No"
"M",18,"T",3,2,"mother",3,1,"0",4,4,"Yes"
"M",19,"T",1,1,"father",1,1,"0",2,3,"No"
