"","customer_id","age","income","clicks","email_open_rate","campaign_type"
"64",64,56,5034,7,0.76,"Sale"
"65",65,50,6496,2,0.91,"Discount"
"66",66,49,7862,6,0.82,"Discount"
"67",67,45,8966,5,0.09,"NewArrival"
"68",68,46,6577,8,0.18,"Discount"
"69",69,56,2088,5,0.64,"Sale"
"70",70,54,9251,3,0.87,"NewArrival"
"71",71,48,8165,5,0.59,"Discount"
"72",72,47,5060,3,0.26,"Sale"
"73",73,51,2752,4,0.88,"NewArrival"
"74",74,55,2397,3,0.19,"Discount"
"75",75,48,8569,9,0.49,"NewArrival"
"76",76,52,8635,5,0.01,"Sale"
"77",77,51,7238,7,0.36,"Discount"
"78",78,47,3063,3,0.44,"NewArrival"
"79",79,50,4734,8,0.13,"NewArrival"
"80",80,45,7851,3,0.62,"Sale"
"81",81,58,9258,3,0.3,"Discount"
"82",82,53,7570,3,0.24,"NewArrival"
"83",83,43,3933,5,0.36,"Discount"
"84",84,51,7153,6,0.89,"NewArrival"
"85",85,55,4246,8,0.99,"NewArrival"
"86",86,54,9661,6,0.73,"Sale"
"87",87,45,3267,5,0.99,"Sale"
"88",88,45,5347,7,0.54,"NewArrival"
"89",89,43,4016,1,0.43,"Sale"
"90",90,59,2755,12,0.96,"Discount"
"91",91,53,8622,6,0.15,"NewArrival"
"92",92,54,6202,4,0.07,"NewArrival"
"93",93,52,7342,1,0.02,"Discount"
"94",94,59,5266,6,0.61,"Discount"
"95",95,46,8741,3,0.7,"Discount"
"96",96,50,7898,14,0.8,"NewArrival"
"97",97,50,4786,8,0.14,"NewArrival"
"98",98,40,9592,6,0.16,"Sale"
"99",99,47,7173,6,0.99,"Discount"
"100",100,51,2282,5,0.4,"NewArrival"
"101",101,52,6772,7,0.19,"NewArrival"
"102",102,50,5323,3,0.48,"Discount"
"103",103,49,2615,6,0.54,"NewArrival"
"104",104,51,6224,4,0.33,"Discount"
"105",105,44,9699,5,1,"Sale"
"106",106,49,7670,2,0.53,"Sale"
"107",107,49,6428,3,0.13,"Sale"
"108",108,53,3944,2,0.44,"NewArrival"
"109",109,49,8224,9,0.62,"Sale"
"110",110,49,7216,4,0.2,"Discount"
"111",111,46,8642,5,0.13,"Discount"
"112",112,58,7188,6,0.78,"NewArrival"
"113",113,47,5839,3,0.64,"NewArrival"
"114",114,52,5961,5,0.28,"Discount"
"115",115,41,5039,7,0.19,"Discount"
"116",116,44,5604,4,0.27,"Sale"
"117",117,48,8514,7,0.53,"Sale"
"118",118,47,9430,1,0.68,"Sale"
"119",119,45,3180,10,0.38,"Sale"
"120",120,39,7999,6,0.95,"NewArrival"
"121",121,48,9805,4,0.12,"NewArrival"
"122",122,44,9798,6,0.04,"Discount"
"123",123,43,4805,4,0.5,"Sale"
"124",124,43,5152,9,0.58,"Sale"
"125",125,50,9608,4,0.84,"NewArrival"
"126",126,59,2853,1,0.65,"Discount"
"127",127,49,9478,4,0.94,"Sale"
"128",128,62,4769,4,0.51,"Sale"
"129",129,54,6264,4,0.08,"NewArrival"
"130",130,48,6310,9,0.99,"Sale"
"131",131,45,7718,4,0.4,"NewArrival"
"132",132,46,5246,5,0.9,"Discount"
"133",133,47,3222,8,0.88,"Discount"
"134",134,52,4722,8,0.3,"Sale"
"135",135,48,7013,3,0.13,"NewArrival"
"136",136,55,2459,6,0.27,"Sale"
"137",137,54,8813,4,0.01,"Discount"
"138",138,46,3701,5,0.82,"Discount"
"139",139,47,6316,6,0.17,"Sale"
"140",140,42,3092,7,0.84,"NewArrival"
"141",141,44,4599,8,0.17,"Discount"
"142",142,62,6969,1,0.76,"NewArrival"
"143",143,50,4048,3,0.52,"Sale"
"144",144,52,7079,4,0.27,"Sale"
"145",145,49,5885,4,0.34,"Sale"
"146",146,48,9505,6,0.71,"Discount"
"147",147,49,8860,6,0.59,"Discount"
"148",148,54,4967,8,0.47,"Discount"
"149",149,61,4514,7,0.34,"Sale"
"150",150,55,8628,7,0.97,"NewArrival"
"151",151,56,5615,4,0.65,"Sale"
"152",152,43,4527,5,0.2,"Sale"
"153",153,46,2782,2,0.36,"NewArrival"
"154",154,41,2519,8,0.51,"Sale"
"155",155,49,7516,9,0.88,"NewArrival"
"156",156,50,7344,5,0.15,"Discount"
"157",157,45,9236,8,0.23,"Discount"
"158",158,47,4414,3,0.16,"NewArrival"
"159",159,49,9462,3,0.61,"NewArrival"
"160",160,50,3616,5,0.5,"NewArrival"
"161",161,61,8339,5,0.19,"Sale"
"162",162,46,3797,4,0.41,"NewArrival"
"163",163,43,2246,1,0.58,"Sale"
"164",164,44,8896,6,0.31,"Discount"
"165",165,44,7481,6,0.48,"Discount"
"166",166,47,9537,4,0.94,"Discount"
"167",167,52,7407,9,0.05,"Sale"
"168",168,59,8745,6,0.53,"Sale"
"169",169,58,4895,2,0.44,"NewArrival"
"170",170,48,5139,10,0.91,"NewArrival"
"171",171,37,6541,3,0.88,"NewArrival"
"172",172,47,2761,1,0.16,"Discount"
"173",173,52,3550,3,0.75,"NewArrival"
"174",174,49,6705,6,0.4,"Discount"
"175",175,52,8012,3,0.56,"Discount"
"176",176,49,8938,3,0.08,"NewArrival"
"177",177,52,4974,1,0.12,"Discount"
"178",178,47,8391,3,0.93,"Discount"
"179",179,58,2467,6,0.88,"Discount"
"180",180,56,6987,1,0.16,"Sale"
"181",181,42,4853,2,0.53,"Sale"
"182",182,43,6703,4,0.93,"NewArrival"
"183",183,41,9310,5,0.33,"NewArrival"
"184",184,40,3596,6,0.16,"Discount"
"185",185,51,4953,6,0.95,"Discount"
"186",186,48,7371,2,0.46,"Discount"
"187",187,58,8145,4,0.22,"Sale"
"188",188,41,6178,10,0,"Discount"
"189",189,48,8625,7,0.62,"Sale"
"190",190,41,6217,3,0.4,"NewArrival"
"191",191,62,6014,5,0.9,"Sale"
"192",192,41,5360,1,0.51,"Sale"
"193",193,59,4898,3,0.73,"Sale"
"194",194,52,2987,5,0.03,"NewArrival"
"195",195,59,4385,6,0.38,"NewArrival"
"196",196,48,4213,11,0.39,"NewArrival"
"197",197,46,8162,4,0.34,"Discount"
"198",198,49,8225,9,0.36,"Sale"
"199",199,53,3150,9,0.64,"NewArrival"
"200",200,55,6124,8,0.03,"Sale"
