"attrition_flag","gender","customer_age","income_category","card_category","credit_limit","total_revolving_bal","avg_utilization_ratio","avg_open_to_buy","months_inactive_12_mon"
"Existing Customer","M",46,"$80K - $120K","Blue",19458,1435,0.074,18023,3
"Existing Customer","M",52,"$80K - $120K","Blue",4745,1227,0.259,3518,1
"Existing Customer","F",52,"Less than $40K","Blue",2622,1549,0.591,1073,3
"Attrited Customer","F",54,"Less than $40K","Blue",1438.3,808,0.562,630.3,3
"Existing Customer","F",66,"Less than $40K","Blue",3171,2179,0.687,992,4
"Existing Customer","M",49,"$120K +","Blue",19763,2517,0.127,17246,2
"Attrited Customer","M",56,"$120K +","Blue",15769,0,0,15769,3
"Existing Customer","F",49,"Less than $40K","Blue",3298,2200,0.667,1098,4
"Existing Customer","F",49,"Less than $40K","Blue",2802,2363,0.843,439,2
"Existing Customer","M",56,"$40K - $60K","Blue",4458,1880,0.422,2578,2
"Existing Customer","F",44,"Unknown","Blue",6273,978,0.156,5295,1
"Existing Customer","M",42,"$60K - $80K","Blue",3336,1753,0.525,1583,4
"Existing Customer","M",55,"$80K - $120K","Blue",3436,2016,0.587,1420,2
"Attrited Customer","M",48,"$60K - $80K","Silver",34516,0,0,34516,4
"Existing Customer","M",39,"$60K - $80K","Blue",5926,1251,0.211,4675,3
"Existing Customer","M",44,"$120K +","Blue",23957,2102,0.088,21855,4
"Existing Customer","M",53,"$120K +","Blue",14734,1634,0.111,13100,2
"Existing Customer","M",51,"$80K - $120K","Silver",34516,1515,0.044,33001,1
"Existing Customer","M",57,"$60K - $80K","Blue",6584,1817,0.276,4767,3
"Existing Customer","F",44,"Less than $40K","Blue",2084,1468,0.704,616,3
"Existing Customer","M",49,"$60K - $80K","Blue",1687,1107,0.656,580,2
"Existing Customer","M",50,"$80K - $120K","Blue",25300,1330,0.053,23970,2
"Existing Customer","M",51,"$120K +","Blue",34516,1763,0.051,32753,2
"Existing Customer","F",55,"Less than $40K","Blue",2216,1034,0.467,1182,3
"Existing Customer","M",54,"$60K - $80K","Blue",2910,2030,0.698,880,2
"Existing Customer","M",42,"$80K - $120K","Blue",22913,1528,0.067,21385,2
"Existing Customer","M",44,"$60K - $80K","Blue",24312,1932,0.079,22380,3
"Existing Customer","M",53,"$80K - $120K","Blue",5272,1515,0.287,3757,3
"Existing Customer","F",44,"Less than $40K","Blue",7000,2517,0.36,4483,4
"Existing Customer","F",37,"Less than $40K","Blue",7038,1801,0.256,5237,4
"Existing Customer","M",49,"$60K - $80K","Blue",2536,1823,0.719,713,1
"Existing Customer","M",47,"$80K - $120K","Blue",28904,1899,0.066,27005,3
"Existing Customer","M",47,"$60K - $80K","Blue",8567,1695,0.198,6872,4
"Existing Customer","M",44,"$120K +","Blue",34516,1533,0.044,32983,2
"Attrited Customer","F",55,"$40K - $60K","Blue",2158,0,0,2158,4
"Existing Customer","F",59,"Unknown","Blue",10133,1417,0.14,8716,3
"Existing Customer","M",53,"$80K - $120K","Blue",34516,1219,0.035,33297,4
"Existing Customer","M",52,"$60K - $80K","Blue",3085,1910,0.619,1175,3
"Existing Customer","M",53,"$120K +","Blue",19040,2056,0.108,16984,2
"Existing Customer","F",43,"Less than $40K","Blue",4026,0,0,4026,2
"Existing Customer","M",44,"$60K - $80K","Blue",12756,837,0.066,11919,3
"Existing Customer","M",57,"$120K +","Blue",5266,0,0,5266,3
"Existing Customer","F",51,"Less than $40K","Blue",9930,0,0,9930,2
"Existing Customer","M",49,"$80K - $120K","Blue",31302,1953,0.062,29349,3
"Existing Customer","M",45,"$40K - $60K","Blue",6576,0,0,6576,4
"Existing Customer","M",53,"$80K - $120K","Blue",2664,2037,0.765,627,4
"Existing Customer","F",45,"Unknown","Blue",2535,2440,0.963,95,1
"Existing Customer","M",64,"Less than $40K","Blue",1709,895,0.524,814,4
"Existing Customer","M",45,"$40K - $60K","Blue",3454,1200,0.347,2254,4
"Existing Customer","M",53,"$40K - $60K","Blue",3789,1706,0.45,2083,3
"Existing Customer","M",56,"$120K +","Blue",9689,2250,0.232,7439,2
"Attrited Customer","M",47,"$80K - $120K","Blue",5449,1628,0.299,3821,3
"Existing Customer","F",49,"Unknown","Blue",23032,1960,0.085,21072,4
"Existing Customer","F",41,"Unknown","Silver",34516,2053,0.059,32463,3
"Existing Customer","M",53,"$120K +","Blue",2940,1264,0.43,1676,2
"Existing Customer","F",44,"Less than $40K","Blue",3031,1879,0.62,1152,3
"Existing Customer","M",44,"$60K - $80K","Blue",1862,0,0,1862,3
"Existing Customer","F",43,"Less than $40K","Blue",8358,926,0.111,7432,3
"Existing Customer","M",53,"$120K +","Blue",34516,931,0.027,33585,1
"Existing Customer","M",44,"$60K - $80K","Blue",14450,2440,0.169,12010,2
"Existing Customer","F",62,"Less than $40K","Blue",1438.3,0,0,1438.3,0
"Existing Customer","M",54,"$120K +","Blue",33791,1960,0.058,31831,3
"Existing Customer","M",57,"$60K - $80K","Blue",8466,1886,0.223,6580,3
"Existing Customer","M",42,"$60K - $80K","Blue",15088,865,0.057,14223,3
"Existing Customer","M",42,"$60K - $80K","Blue",3263,1674,0.513,1589,1
"Existing Customer","F",54,"Less than $40K","Blue",1494,706,0.473,788,2
"Existing Customer","M",48,"$80K - $120K","Blue",13551,1294,0.095,12257,1
"Existing Customer","M",49,"$80K - $120K","Blue",18886,895,0.047,17991,2
"Existing Customer","M",52,"$80K - $120K","Blue",11976,1273,0.106,10703,2
"Existing Customer","M",50,"$80K - $120K","Blue",9964,1559,0.156,8405,1
"Existing Customer","M",49,"$60K - $80K","Blue",24159,1196,0.05,22963,6
"Existing Customer","F",53,"Less than $40K","Blue",5362,1901,0.355,3461,2
"Existing Customer","M",50,"$120K +","Blue",34516,1023,0.03,33493,2
"Existing Customer","F",55,"Less than $40K","Blue",3174,1951,0.615,1223,1
"Existing Customer","M",53,"$80K - $120K","Blue",12262,1836,0.15,10426,2
"Existing Customer","F",47,"$40K - $60K","Blue",3788,1540,0.407,2248,3
"Existing Customer","M",55,"$120K +","Silver",34516,1527,0.044,32989,3
"Existing Customer","M",47,"$60K - $80K","Blue",2926,0,0,2926,2
"Existing Customer","M",58,"$120K +","Blue",32090,0,0,32090,1
"Attrited Customer","M",53,"$80K - $120K","Blue",11669,2227,0.191,9442,3
"Existing Customer","M",52,"$40K - $60K","Blue",13532,1300,0.096,12232,1
"Existing Customer","F",50,"Less than $40K","Silver",11888,2090,0.176,9798,2
"Existing Customer","F",42,"Less than $40K","Blue",2393,1985,0.83,408,1
"Existing Customer","M",43,"$40K - $60K","Blue",6111,2517,0.412,3594,1
"Existing Customer","M",57,"$80K - $120K","Blue",19270,1662,0.086,17608,2
"Existing Customer","M",52,"$80K - $120K","Blue",3710,2517,0.678,1193,1
"Existing Customer","M",47,"Less than $40K","Blue",3235,797,0.246,2438,1
"Existing Customer","F",44,"$40K - $60K","Blue",11749,788,0.067,10961,1
"Existing Customer","M",53,"$60K - $80K","Blue",7753,2100,0.271,5653,3
"Existing Customer","M",45,"$60K - $80K","Blue",10408,1186,0.114,9222,1
"Existing Customer","F",63,"Unknown","Blue",3967,1568,0.395,2399,2
"Existing Customer","F",39,"Less than $40K","Blue",6205,2517,0.406,3688,2
"Attrited Customer","F",48,"Less than $40K","Blue",8025,0,0,8025,3
"Existing Customer","M",51,"$120K +","Blue",9036,2327,0.258,6709,2
"Existing Customer","M",54,"$80K - $120K","Blue",14926,2517,0.169,12409,3
"Existing Customer","F",59,"Less than $40K","Blue",6335,1128,0.178,5207,2
"Attrited Customer","M",59,"$60K - $80K","Blue",14979,0,0,14979,3
"Attrited Customer","F",48,"Less than $40K","Blue",2732,0,0,2732,2
"Existing Customer","F",41,"Less than $40K","Blue",2250,2117,0.941,133,3
"Existing Customer","M",55,"$120K +","Blue",10916,1536,0.141,9380,2
"Existing Customer","F",47,"Unknown","Blue",5349,1228,0.23,4121,1
"Existing Customer","M",41,"$80K - $120K","Blue",9366,1104,0.118,8262,1
"Existing Customer","M",40,"$80K - $120K","Blue",21617,0,0,21617,1
"Existing Customer","M",68,"Unknown","Blue",13860,1652,0.119,12208,2
"Existing Customer","F",50,"$40K - $60K","Silver",18386,0,0,18386,2
"Existing Customer","M",47,"$60K - $80K","Blue",2405,1540,0.64,865,2
"Existing Customer","F",53,"Less than $40K","Blue",2154,930,0.432,1224,2
"Existing Customer","F",42,"$40K - $60K","Blue",2038,0,0,2038,3
"Existing Customer","F",48,"$40K - $60K","Blue",8135,0,0,8135,1
"Existing Customer","M",49,"$120K +","Blue",9364,618,0.066,8746,1
"Existing Customer","F",44,"Unknown","Silver",32643,0,0,32643,3
"Existing Customer","F",43,"Less than $40K","Blue",3195,1954,0.612,1241,3
"Existing Customer","M",56,"$80K - $120K","Blue",2852,1024,0.359,1828,2
"Existing Customer","F",59,"Unknown","Blue",4224,1305,0.309,2919,3
"Existing Customer","M",46,"$60K - $80K","Blue",20459,2071,0.101,18388,2
"Existing Customer","F",47,"Less than $40K","Blue",3482,2114,0.607,1368,5
"Existing Customer","F",50,"$40K - $60K","Blue",3065,1570,0.512,1495,2
"Existing Customer","F",51,"Less than $40K","Blue",2185,1761,0.806,424,1
"Existing Customer","F",47,"Less than $40K","Blue",1611,746,0.463,865,1
"Existing Customer","F",58,"Less than $40K","Blue",2822,2173,0.77,649,3
"Attrited Customer","M",46,"$80K - $120K","Blue",32975,2517,0.076,30458,3
"Existing Customer","M",53,"$60K - $80K","Blue",1438.3,0,0,1438.3,2
"Existing Customer","F",45,"Unknown","Blue",15875,1719,0.108,14156,3
"Existing Customer","F",52,"Less than $40K","Blue",6703,893,0.133,5810,3
"Attrited Customer","M",53,"$80K - $120K","Blue",3212,0,0,3212,2
"Existing Customer","M",50,"$80K - $120K","Silver",34516,1260,0.037,33256,1
"Existing Customer","F",41,"$40K - $60K","Blue",9797,1434,0.146,8363,1
"Existing Customer","F",45,"$40K - $60K","Blue",10400,1777,0.171,8623,2
"Existing Customer","M",53,"$80K - $120K","Blue",26792,1836,0.069,24956,1
"Existing Customer","F",67,"Less than $40K","Blue",3006,2517,0.837,489,3
"Existing Customer","F",57,"$40K - $60K","Silver",19482,1072,0.055,18410,3
"Existing Customer","F",59,"$40K - $60K","Blue",3356,985,0.294,2371,2
"Existing Customer","M",45,"$40K - $60K","Blue",5771,2248,0.39,3523,2
"Existing Customer","M",51,"$80K - $120K","Blue",11106,2107,0.19,8999,2
"Existing Customer","F",59,"Less than $40K","Blue",2890,2001,0.692,889,3
"Existing Customer","M",53,"$60K - $80K","Blue",3380,1701,0.503,1679,2
"Existing Customer","M",47,"$60K - $80K","Blue",21331,1251,0.059,20080,1
"Existing Customer","F",49,"Unknown","Blue",12860,0,0,12860,2
"Existing Customer","M",49,"$80K - $120K","Blue",6278,462,0.074,5816,1
"Existing Customer","F",60,"Less than $40K","Blue",1438.3,738,0.513,700.3,1
"Existing Customer","F",50,"Less than $40K","Blue",9355,1626,0.174,7729,1
"Existing Customer","F",41,"Unknown","Blue",20758,0,0,20758,1
"Existing Customer","M",57,"$80K - $120K","Blue",14612,1976,0.135,12636,3
"Existing Customer","M",43,"$80K - $120K","Blue",27259,0,0,27259,2
"Existing Customer","F",57,"Less than $40K","Blue",6347,1594,0.251,4753,2
"Existing Customer","M",54,"$120K +","Blue",21592,1676,0.078,19916,3
"Existing Customer","F",51,"Less than $40K","Blue",3449,1598,0.463,1851,1
"Existing Customer","F",47,"Less than $40K","Blue",6028,799,0.133,5229,1
"Existing Customer","M",41,"$120K +","Blue",18214,1998,0.11,16216,2
"Existing Customer","M",53,"$80K - $120K","Blue",16393,1423,0.087,14970,3
"Attrited Customer","M",68,"Less than $40K","Blue",1438.3,900,0.626,538.3,3
"Existing Customer","M",59,"$60K - $80K","Blue",7871,1687,0.214,6184,1
"Existing Customer","M",48,"$80K - $120K","Blue",5288,866,0.164,4422,3
"Existing Customer","M",44,"$60K - $80K","Blue",11376,2006,0.176,9370,5
"Existing Customer","M",48,"$80K - $120K","Blue",12302,1632,0.133,10670,5
"Existing Customer","M",47,"$60K - $80K","Silver",34516,1679,0.049,32837,2
"Existing Customer","M",47,"$60K - $80K","Silver",34516,1468,0.043,33048,2
"Existing Customer","F",43,"Less than $40K","Silver",10514,1580,0.15,8934,2
"Attrited Customer","F",55,"Less than $40K","Blue",1438.3,0,0,1438.3,4
"Attrited Customer","M",59,"$60K - $80K","Blue",1438.3,0,0,1438.3,3
"Existing Customer","M",63,"$40K - $60K","Blue",2619,1779,0.679,840,1
"Existing Customer","M",58,"$120K +","Blue",24407,2395,0.098,22012,3
"Existing Customer","F",53,"Less than $40K","Blue",2377,1649,0.694,728,1
"Existing Customer","M",59,"$80K - $120K","Silver",34516,1359,0.039,33157,2
"Existing Customer","M",52,"$120K +","Blue",11086,2207,0.199,8879,3
"Existing Customer","M",48,"$60K - $80K","Blue",11432,2517,0.22,8915,2
"Existing Customer","M",43,"$40K - $60K","Blue",13258,1721,0.13,11537,3
"Existing Customer","M",48,"Less than $40K","Blue",2571,1955,0.76,616,2
"Existing Customer","F",43,"Less than $40K","Blue",5781,1168,0.202,4613,2
"Existing Customer","M",44,"$60K - $80K","Blue",7872,2509,0.319,5363,1
"Existing Customer","M",41,"$80K - $120K","Blue",34516,1202,0.035,33314,1
"Existing Customer","F",44,"Less than $40K","Silver",11127,1835,0.165,9292,1
"Existing Customer","M",50,"$40K - $60K","Blue",1857,1603,0.863,254,1
"Existing Customer","F",60,"Less than $40K","Blue",1913,1272,0.665,641,1
"Existing Customer","M",44,"$80K - $120K","Blue",3839,2295,0.598,1544,3
"Existing Customer","F",48,"$40K - $60K","Blue",2115,1141,0.539,974,2
"Existing Customer","F",44,"Less than $40K","Blue",1438.3,679,0.472,759.3,2
"Existing Customer","M",41,"$80K - $120K","Blue",27756,1789,0.064,25967,3
"Existing Customer","M",45,"$60K - $80K","Blue",1438.3,0,0,1438.3,1
"Existing Customer","F",47,"Less than $40K","Silver",13878,2222,0.16,11656,4
"Existing Customer","F",51,"Less than $40K","Blue",3106,1304,0.42,1802,1
"Existing Customer","M",51,"$120K +","Blue",34516,1666,0.048,32850,3
"Attrited Customer","F",60,"$40K - $60K","Blue",1438.3,1025,0.713,413.3,4
"Existing Customer","M",57,"$80K - $120K","Blue",18871,1740,0.092,17131,3
"Existing Customer","M",41,"$120K +","Blue",5207,1748,0.336,3459,2
"Existing Customer","M",44,"$80K - $120K","Blue",17965,1644,0.092,16321,2
"Existing Customer","M",43,"$60K - $80K","Blue",2733,1819,0.666,914,3
"Existing Customer","M",55,"$60K - $80K","Blue",8863,1301,0.147,7562,3
"Attrited Customer","M",52,"$80K - $120K","Blue",1857,1833,0.987,24,3
"Existing Customer","M",44,"$80K - $120K","Blue",34516,0,0,34516,3
"Existing Customer","M",41,"$40K - $60K","Blue",11107,1222,0.11,9885,3
"Existing Customer","M",44,"$80K - $120K","Blue",21573,1585,0.073,19988,1
"Attrited Customer","F",53,"Less than $40K","Blue",2859,2517,0.88,342,3
"Existing Customer","M",39,"$80K - $120K","Blue",5269,1475,0.28,3794,2
"Attrited Customer","M",49,"$40K - $60K","Blue",1438.3,0,0,1438.3,2
"Attrited Customer","F",45,"Less than $40K","Blue",3387,0,0,3387,3
"Existing Customer","M",54,"$80K - $120K","Blue",1982,1289,0.65,693,2
"Existing Customer","M",49,"$80K - $120K","Blue",4645,1650,0.355,2995,2
"Existing Customer","F",46,"Unknown","Blue",2189,1666,0.761,523,3
"Attrited Customer","M",46,"$120K +","Blue",2442,0,0,2442,3
"Existing Customer","M",47,"$60K - $80K","Blue",21304,1532,0.072,19772,1
"Existing Customer","M",44,"$60K - $80K","Blue",7577,2480,0.327,5097,1
"Existing Customer","M",50,"$120K +","Blue",3234,1486,0.459,1748,1
"Existing Customer","M",73,"$40K - $60K","Blue",4469,1125,0.252,3344,3
"Existing Customer","M",56,"$40K - $60K","Blue",2910,709,0.244,2201,3
"Attrited Customer","M",59,"$40K - $60K","Blue",3616,1054,0.291,2562,4
"Existing Customer","M",70,"Less than $40K","Blue",3252,1495,0.46,1757,2
"Existing Customer","F",55,"Less than $40K","Blue",2358,1152,0.489,1206,3
"Existing Customer","M",43,"$60K - $80K","Blue",22322,953,0.043,21369,1
"Existing Customer","M",45,"$120K +","Blue",3133,1510,0.482,1623,2
"Existing Customer","F",45,"$40K - $60K","Blue",3540,849,0.24,2691,3
"Existing Customer","M",40,"$40K - $60K","Blue",6990,1378,0.197,5612,3
"Existing Customer","M",36,"$80K - $120K","Blue",34516,1652,0.048,32864,2
"Attrited Customer","F",59,"$40K - $60K","Blue",1438.3,0,0,1438.3,4
"Existing Customer","M",43,"$60K - $80K","Blue",24396,1171,0.048,23225,3
"Existing Customer","F",46,"Less than $40K","Blue",2474,2143,0.866,331,3
"Existing Customer","M",41,"$40K - $60K","Blue",5214,795,0.152,4419,1
"Existing Customer","F",51,"Less than $40K","Blue",5207,1650,0.317,3557,2
"Existing Customer","F",51,"Less than $40K","Blue",9512,1082,0.114,8430,2
"Existing Customer","F",43,"Unknown","Blue",3187,2430,0.762,757,3
"Attrited Customer","F",64,"$40K - $60K","Blue",3353,0,0,3353,3
"Existing Customer","M",54,"$60K - $80K","Blue",2290,1434,0.626,856,3
"Existing Customer","M",48,"$40K - $60K","Blue",5279,1115,0.211,4164,1
"Existing Customer","M",40,"$60K - $80K","Blue",23603,0,0,23603,3
"Existing Customer","M",57,"$40K - $60K","Blue",2601,0,0,2601,2
"Existing Customer","M",45,"$80K - $120K","Blue",6363,1029,0.162,5334,3
"Existing Customer","M",41,"$80K - $120K","Blue",8029,1576,0.196,6453,3
"Existing Customer","F",42,"Less than $40K","Blue",2410,1769,0.734,641,2
"Attrited Customer","M",45,"$60K - $80K","Blue",3401,0,0,3401,1
"Existing Customer","F",42,"Less than $40K","Blue",2260,1007,0.446,1253,2
"Existing Customer","M",47,"$80K - $120K","Blue",17682,2481,0.14,15201,2
"Existing Customer","F",48,"$40K - $60K","Blue",4206,1100,0.262,3106,1
"Existing Customer","M",43,"$80K - $120K","Silver",34516,1440,0.042,33076,3
"Existing Customer","M",41,"$80K - $120K","Blue",23018,2168,0.094,20850,3
"Existing Customer","F",54,"$40K - $60K","Blue",5556,1711,0.308,3845,2
"Attrited Customer","F",54,"Unknown","Blue",6094,0,0,6094,3
"Existing Customer","M",61,"$40K - $60K","Blue",2939,1999,0.68,940,1
"Existing Customer","M",61,"$80K - $120K","Blue",5362,1274,0.238,4088,1
"Attrited Customer","M",48,"$120K +","Blue",27126,0,0,27126,3
"Existing Customer","F",45,"Less than $40K","Blue",3342,2517,0.753,825,3
"Attrited Customer","F",54,"Unknown","Blue",2532,2221,0.877,311,2
"Existing Customer","F",54,"Unknown","Blue",1900,1376,0.724,524,2
"Existing Customer","M",44,"$60K - $80K","Blue",14546,1703,0.117,12843,3
"Existing Customer","F",50,"Unknown","Blue",2521,1608,0.638,913,3
"Existing Customer","M",55,"$60K - $80K","Blue",16427,1682,0.102,14745,4
"Existing Customer","M",48,"$40K - $60K","Blue",13068,1718,0.131,11350,1
"Existing Customer","M",45,"$60K - $80K","Blue",23218,1814,0.078,21404,3
"Existing Customer","M",60,"$40K - $60K","Blue",3281,837,0.255,2444,1
"Existing Customer","M",55,"$40K - $60K","Blue",3096,2217,0.716,879,3
"Existing Customer","F",62,"$40K - $60K","Blue",2052,1250,0.609,802,2
"Existing Customer","F",38,"Less than $40K","Blue",1438.3,583,0.405,855.3,3
"Existing Customer","M",46,"$40K - $60K","Blue",9432,1418,0.15,8014,3
"Existing Customer","M",50,"$120K +","Silver",14938,2303,0.154,12635,2
"Existing Customer","M",45,"$60K - $80K","Blue",2221,1343,0.605,878,3
"Existing Customer","M",47,"$60K - $80K","Blue",5731,1577,0.275,4154,3
"Existing Customer","M",48,"$60K - $80K","Gold",34516,2061,0.06,32455,2
"Existing Customer","M",35,"$60K - $80K","Blue",6985,1130,0.162,5855,2
"Existing Customer","M",51,"$120K +","Blue",24221,1707,0.07,22514,3
"Existing Customer","F",36,"Unknown","Blue",15439,0,0,15439,1
"Existing Customer","M",47,"$80K - $120K","Blue",21637,2030,0.094,19607,3
"Existing Customer","M",52,"$120K +","Blue",14543,0,0,14543,3
"Existing Customer","F",43,"Less than $40K","Blue",9684,2475,0.256,7209,1
"Existing Customer","M",63,"$40K - $60K","Blue",5007,930,0.186,4077,2
"Existing Customer","M",61,"$60K - $80K","Blue",1616,1047,0.648,569,2
"Existing Customer","M",53,"$60K - $80K","Blue",19116,0,0,19116,2
"Existing Customer","F",53,"Less than $40K","Blue",2759,2223,0.806,536,6
"Attrited Customer","M",57,"$120K +","Blue",8249,1381,0.167,6868,3
"Existing Customer","F",38,"Unknown","Blue",14041,2154,0.153,11887,3
"Existing Customer","M",53,"$60K - $80K","Blue",5264,2169,0.412,3095,3
"Existing Customer","F",63,"Less than $40K","Blue",2420,1912,0.79,508,2
"Existing Customer","F",49,"Less than $40K","Blue",2826,2070,0.732,756,2
"Existing Customer","M",45,"$80K - $120K","Blue",12518,1539,0.123,10979,5
"Existing Customer","M",67,"$40K - $60K","Blue",5876,1297,0.221,4579,2
"Existing Customer","M",48,"$80K - $120K","Silver",34516,0,0,34516,2
"Existing Customer","F",51,"Less than $40K","Blue",9648,1926,0.2,7722,1
"Existing Customer","M",52,"$80K - $120K","Silver",34516,2177,0.063,32339,3
"Existing Customer","F",55,"Unknown","Blue",3025,2376,0.785,649,3
"Existing Customer","M",34,"$60K - $80K","Blue",3265,2517,0.771,748,3
"Existing Customer","M",56,"$120K +","Blue",6041,1355,0.224,4686,2
"Existing Customer","F",44,"Less than $40K","Blue",2293,1823,0.795,470,3
"Existing Customer","M",47,"$80K - $120K","Blue",13399,2505,0.187,10894,2
"Existing Customer","F",46,"Less than $40K","Blue",4317,2517,0.583,1800,3
"Existing Customer","F",43,"$40K - $60K","Blue",3378,1069,0.316,2309,2
"Existing Customer","F",50,"Less than $40K","Blue",5012,2242,0.447,2770,1
"Existing Customer","F",38,"Less than $40K","Blue",2569,1605,0.625,964,1
"Existing Customer","F",53,"Less than $40K","Blue",3471,1785,0.514,1686,1
"Existing Customer","M",43,"$120K +","Silver",34516,1699,0.049,32817,3
"Existing Customer","M",53,"$120K +","Blue",3312,1844,0.557,1468,3
"Existing Customer","F",56,"Less than $40K","Blue",2578,2462,0.955,116,3
"Attrited Customer","M",54,"$40K - $60K","Blue",2902,2517,0.867,385,3
"Existing Customer","F",57,"Less than $40K","Blue",2742,2321,0.846,421,2
"Existing Customer","M",62,"Less than $40K","Blue",2077,1571,0.756,506,3
"Existing Customer","F",46,"Less than $40K","Blue",6265,1942,0.31,4323,1
"Existing Customer","M",49,"$60K - $80K","Blue",7819,1560,0.2,6259,3
"Existing Customer","M",52,"$80K - $120K","Blue",2731,1692,0.62,1039,3
"Attrited Customer","M",58,"$40K - $60K","Blue",1438.3,537,0.373,901.3,4
"Existing Customer","M",54,"$80K - $120K","Blue",16286,1710,0.105,14576,1
"Existing Customer","M",49,"$120K +","Blue",34516,0,0,34516,2
"Existing Customer","F",58,"Less than $40K","Blue",2609,2439,0.935,170,1
"Existing Customer","M",52,"$60K - $80K","Blue",7567,1173,0.155,6394,3
"Existing Customer","M",41,"$60K - $80K","Blue",22770,2517,0.111,20253,3
"Existing Customer","F",62,"Less than $40K","Blue",3791,1648,0.435,2143,1
"Existing Customer","M",54,"Less than $40K","Blue",2702,2517,0.932,185,4
"Existing Customer","F",40,"Less than $40K","Blue",2555,2117,0.829,438,1
"Existing Customer","M",43,"$80K - $120K","Blue",2355,1090,0.463,1265,3
"Existing Customer","F",53,"$40K - $60K","Blue",5332,0,0,5332,2
"Existing Customer","M",55,"$40K - $60K","Blue",1443,1375,0.953,68,3
"Existing Customer","M",46,"$60K - $80K","Blue",10741,755,0.07,9986,2
"Existing Customer","M",41,"$60K - $80K","Blue",7984,1503,0.188,6481,2
