uid,city,description,homeType,latitude,longitude,garageSpaces,hasSpa,yearBuilt,numOfPatioAndPorchFeatures,lotSizeSqFt,avgSchoolRating,MedianStudentsPerTeacher,numOfBathrooms,numOfBedrooms,priceRange
12676,austin,When you walk through the double doors is the moment you realize this 3 bedroom 2.5 home is ready for you to make new memories here.  The front siting/living room is complimented with 6 windows allowing sunlight to shine through. As you walk towards the back of the home you will pass your formal dining area to back living room highlighted by a large picture window framing your backyard views.  The entertainer in you will love the tasteful separation of space allowing a perfect flow through all areas.,Single Family,30.21030044555664,-97.85050964355469,2,False,1986,0,5837.0,4.666666666666667,14,3.0,3,350000-450000
11582,austin,"5810 N Hampton Dr, Austin, TX 78723 is a single family home that contains 2,000 sq ft and was built in 1964. It contains 4 bedrooms and 2 bathrooms. 
 
",Single Family,30.31086158752441,-97.68585968017578,1,False,1964,1,9931.0,3.0,14,2.0,4,450000-650000
12250,austin,"7302 John Blocker Dr, Austin, TX 78749 is a single family home that contains 1,796 sq ft and was built in 1988. It contains 3 bedrooms and 3 bathrooms. 
 
",Single Family,30.22427177429199,-97.86370086669922,0,False,1988,0,6534.0,6.0,17,3.0,3,350000-450000
2826,austin,"Wonderful 2/2 garden home with easy access to Domain, new soccer stadium, and 3 houses away from the N. Star Greenbelt trail.  Home features vaulted ceilings in living with fireplace, solar panels, raised white limestone garden beds, xeriscaped front yard, and only carpet in the owner's suite.  Property features 1 car garage w/ opener (looks like 2 from outside) & insulated windows for energy efficiency.  This property aims to please. Seller will be reviewing any & all offers at 5 PM on Friday June 26th.",Single Family,30.39445304870605,-97.70423889160156,1,False,1983,0,4094.0,4.0,13,2.0,2,250000-350000
9939,austin,Priced $56K under appraised value! Prime location just minutes from UT campus and downtown Austin. Near tons of local restaurants and shops. The spacious living room has plenty of space to host and entertain guests. Decent size kitchen with room for a formal dining area. Huge back yard with a covered porch attached to the house. Don't miss out on the opportunity to own in upcoming East Austin!,Single Family,30.28993225097656,-97.6746063232422,2,False,1971,0,8712.0,3.0,15,2.0,4,450000-650000
6849,austin,"Completely renovated in 2018, this incredibly efficient home situated on a corner lot is ready to be lived in now! Enjoy the beautiful trees and gorgeous natural light throughout. Upgrades include - new roof, HVAC system, water heater, gutters, paint, appliances, kitchen cabinets, and quartz countertops, and much, much more. This home is perfect for anyone looking for something move-in ready in one of Austin's hottest area codes. List of full upgrades available upon request. Owner-occupied. Call agent for showing.",Single Family,30.19562721252441,-97.79019927978516,2,False,1973,1,6556.0,3.333333333333333,13,2.0,3,250000-350000
8048,austin,"16616 Dalmahoy Dr, Austin, TX 78717 is a single family home that contains 2,707 sq ft and was built in 2004. It contains 3 bedrooms and 2 bathrooms. 
 
",Single Family,30.511417388916016,-97.74771118164062,0,True,2004,0,8319.0,7.666666666666668,16,2.0,3,350000-450000
2776,austin,"Cute cottage home in prime location! Three bedrooms, 2 baths and 2 car garage. Laminate wood flooring covers the main living area and kitchen. New roof!",Single Family,30.396358489990234,-97.7021026611328,2,False,1983,0,4160.0,5.333333333333333,13,2.0,3,0-250000
2644,austin,"Euro-inspired farmhouse by Vanguard Studios & Heyl Homes. Each selection/finish carefully selected for transitional interior & timeless exterior, ideal for entertaining. Groined ceilings, stunning floors, warm, open spaces throughout. Cathedral style living, true gourmet kitchen. Neighboring entertaining spaces inc formal dining, game w/full wet bar, spacious ofc, & private owner's suite w/views at every turn. Back w/multiple entertaining areas. Automated negative edge heated pool/spa, breathtaking views.",Single Family,30.32234001159668,-97.86058044433594,0,False,2013,2,57499.2,8.0,14,7.0,5,650000+
13490,austin,"4525 Corran Ferry Loop, Austin, TX 78749 is a single family home that contains 1,501 sq ft and was built in 2000. It contains 3 bedrooms and 2 bathrooms. 
 
",Single Family,30.20223045349121,-97.85326385498048,2,False,2000,2,5793.0,6.666666666666668,16,2.0,3,350000-450000
13390,austin,"Investors and Buyers, excellent opportunity for project home, potential flip or infill redevelopment in highly desirable 78745 location. Huge, flat, open 12,397 SF lot zoned SF3 with minimal trees and full of potential. Buyer to do own due diligence. Close to new Westgate Cap Metro transit center, Central Market, and all things Austin, music, restaurants, shopping, exercise, outdoor attractions and healthcare. Solidly built home with metal roof and gutters. Interior is dated. SOLD AS-IS.",Single Family,30.22464370727539,-97.7861328125,2,False,1958,0,12196.8,4.0,12,2.0,3,350000-450000
14431,austin,"4109 Avenue G, Austin, TX 78751 is a single family home that contains 4,839 sq ft and was built in 1925. It contains 4 bedrooms and 4 bathrooms. 
 
",Single Family,30.30405616760254,-97.72850036621094,2,False,1925,0,13068.0,7.333333333333332,15,4.0,4,650000+
13126,austin,"Amazing opportunity! Beautiful hardi-plank cottage located perfectly on this quiet side-street close to everything. Hardwood flooring takes you through much of the house, leading you back to a large master and upgraded master bath. The back yard is very private and perfect for pets. Check out the CG&S concept plans for renovation/adding 2nd story. Large 1-car garage with covered parking for at least 2 more vehicles. Walk to Maudies Tex-mex and brand new HEB flagship grocery store. 5 mins to downtown.Restrictions: Yes  Sprinkler Sys:Yes",Single Family,30.28493881225586,-97.77481842041016,3,False,1947,4,5445.0,7.0,16,2.0,2,650000+
3082,austin,"Northwest Hills is one of Austin's most beloved neighborhoods and this classic 3/2, single story ranch style home is a perfect example of what makes it so special. The all-brick beauty sits on a tree-filled lot along one of the area's most lovely streets. The perfect place to raise a family or enjoy the ""golden years"". Home has been completely remodeled and updated over the past few years with an array of high-end finishes and designer touches. Gourmet kitchen, cathedral ceiling in living, wide-plank hardwood floors, complete make-over in master and hall baths, energy efficient windows and French doors, huge laundry with new high-end washer and dryer that convey, and a covered patio with custom skylights and a hot tub spa. Master suite features its own private and covered patio for that early morning coffee. A rare, three-car garage is the icing on the cake!",Single Family,30.36701011657715,-97.76763916015624,0,False,1969,0,9757.0,7.0,16,2.0,3,450000-650000
9307,austin,"WOW! Charming, well-loved 1926 Craftsman in the heart of Travis Heights with an easy walk to S. Congress, Stacy Park, swimming pool & tennis courts.  Full of personality and potential, this home features 3 bed/2 bath/2 living/2 fireplace + rare separate 2 car garage.  Vintage home was updated in the 70's with skylights and large master suite.  Current owner updated plumbing and electrical + MANY other upgrades. Live in as-is or update to your taste.  This is quintessential Austin.",Single Family,30.24636459350586,-97.7459487915039,0,False,1926,0,7492.0,4.333333333333333,14,2.0,3,650000+
8558,austin,"11301 Barrington Way, Austin, TX 78759 is a single family home that contains 1,434 sq ft and was built in 1978. It contains 3 bedrooms and 2 bathrooms. 
 
",Single Family,30.42526626586914,-97.77430725097656,0,False,1978,0,9104.0,8.333333333333334,16,2.0,3,250000-350000
6527,austin,"Charming 1 story home with approx. $45K in updates! Home features laminate flooring, freshly-painted outside and in, updated kitchen with granite countertops, SS appliances, modern backsplash, updated cabinets, and much more, including approx. 1 year old roof, elegant formal dining, & huge master with sitting area. Large, low-maintenance yard perfect for entertaining or enjoying serene soak in the hot tub! Ideal location, minutes to downtown and down the street from eateries, shopping, and more!",Single Family,30.20852851867676,-97.83967590332031,0,False,1982,0,6621.0,4.666666666666667,14,2.0,3,250000-350000
13284,austin,"This Circle C gem has been lovingly maintained and is flooded with natural light.  One of the most sought out neighborhoods in Austin with top schools, great amenities, and easy access to shopping.  Enjoy the beautiful Austin sun from the backyard pool and spa.  Multiple waterfall features and surrounding trees make for a serene environment.  All windows replaced w/ energy efficient double pane double hung windows.  Attic is fully enclosed and double insulated with plenty of storage.",Single Family,30.188322067260746,-97.8938980102539,0,False,1988,0,8058.0,9.0,18,3.0,4,450000-650000
12647,austin,"Marvelously remodeled 4-bedroom home in a quiet cul-de-sac! The brick fireplace beckons you into the spacious living room, a great place to entertain guests. The spacious kitchen has plenty of organized storage space, a breakfast bar, dining area flanked by French doors, and boasts new stainless steel appliances, granite counters, and sink. Convenient powder room on 1st floor! Crown molding highlights the master bedroom, which includes an full bath en-suite with dual vanity! Glossy hardwood leads you throughout the main level living areas, sleek tile sets off the kitchen's modern ambiance, and all bedrooms feature fresh carpet. Close to Mills Elementary and highways for easy commuting! Truly a must-see!",Single Family,30.21415710449219,-97.87398529052734,0,False,1992,1,10193.0,8.0,17,3.0,4,350000-450000
2928,austin,"Wonderful townhouse style loft in beautiful tree shaded condo community nestled in NW Hills. Fabulous,functional, open floor plan that makes every foot count! Fireplace, great storage, laundry facilities just off the kitchen, and through the back door is your private, fenced backyard. Retail, restaurants, HEB, public library, US post office, UT shuttle and city bus stops are all within blocks of this great home. Quick, easy access to MOPAC, 183 & Loop 360. Minutes to the Domain!",Condo,30.35195541381836,-97.75767517089844,0,False,1982,0,2091.0,7.0,16,2.0,1,0-250000
13740,austin,"Spacious Barton Hills Green-Built home on .3 acre lot complete with 4 beds and 4 baths. 10' and 11' ceilings and 10' Fleetwood sliders create a light and bright living environment. Blocks from Barton Hills Elementary and the Barton Creek Greenbelt, minutes from downtown. Energy efficient 3 zoned 16+ SEER HVAC combined with 10kw+ solar, 1000 gallon water collection and wifi-controlled sprinkler system. Private backyard with room for a pool that backs to a wet creek for a multilevel, natural, private feel.",Single Family,30.25552749633789,-97.78099060058594,2,False,2017,2,13068.0,6.0,16,4.0,4,650000+
3352,austin,"8901 Glenn Ln, Austin, TX 78753 is a single family home that contains 988 sq ft and was built in 1964. It contains 3 bedrooms and 1 bathroom. 
 
",Single Family,30.35671424865723,-97.69800567626952,1,False,1964,3,7448.0,2.6666666666666665,14,1.0,3,0-250000
8912,austin,"2-story home located on quiet cul-de-sac in highly sought after neighborhood of Windrige. This 4br/3ba home features both spacious family & formal living w/fireplace, along w/loads of windows allowing for abundant natural light. Dual masters both up & down. Upstairs master features separate seating area. Large eat-in kitchen w/center island, loads of cabinets. Enjoy entertaining out on the back patio under mature shade trees.",Single Family,30.414081573486328,-97.7694091796875,2,False,1982,0,13503.6,8.333333333333334,16,3.0,4,450000-650000
9306,austin,"Stand alone on huge lot, like-new, stunning contemporary home in the heart of Travis Heights.  Less than 2 miles from the Oracle Campus. Award winning architectural design featured in Dwell magazine.  Beautiful interiors, polished concrete floors on the first level and wide wood plank floors on the second level. Home features two roof-top decks and a one car garage beautifully situated among Heritage Oaks. One of two stand-alone homes on 12,000 sq. ft lot. Walk or bike to South Congress, Lady Bird Lake, downtown, and all Austin has to offer. 

For Sale by Owner",Apartment,30.242584228515625,-97.73870086669922,2,False,2018,0,11761.2,4.333333333333333,14,3.0,2,650000+
15065,austin,"Great opportunity located in fabulous Rosedale area. 4 Townhouse style apartments....each 2 BD -l.5 BA with balcony off master and back patio slab. Classically designed in 1965, this unique fourplex has 3750 square feet (not including the utility rm) and outside areas for each unit. Units are empty and are awaiting your touch. Zoned MF-3, Medium Density includes possibility for more units on lot. Building size could go to approximately 5000 sf per zoning regulations.  Lots of potential with this property.",MultiFamily,30.32197189331055,-97.74015808105469,0,False,1965,0,9016.0,7.0,16,8.0,8,650000+
9002,austin,"Need an additional room for an office to work from home in? Want to have some privacy with kids in the house 24/7? Well, look no further. Make your essential travel to see this renovated gem in desirable Wells Branch today. This home features:

- Quiet & safe neighborhood 
- Master Suite downstairs
- Separate Master Walk in Closets
- Spacious bedrooms
- Open Vaulted Ceiling 
- New Stainless Steel Appliances
- New Carpet and flooring
- Excellent location minutes to major highways; I-35, Mopac, Toll I-45
- Less than 10 mins to major employers like Apple, Dell, Facebook, Amazon and Tech Corridor 
- Feeds in exemplary Round Rock ISD
- Short walk to Charter Jubilee Elementary or Public Joe Lee Johnson Elementary

Tenants pay for all utilities and maintain landscaping",Single Family,30.458904266357425,-97.68742370605469,0,False,1993,0,6316.0,5.666666666666668,14,2.5,4,250000-350000
5727,austin,"Check out the video: bit.ly/11600WoodlandHillsVideo. Wake up each morning to captivating views of the greenbelt & hill country from this beautiful entertainerâs home in Steinerâs prestigious UT Golf Club! Enjoy the resort-style outdoor living area w/infinity pool & spa & sizable deck. Exquisitely renovated, inside & out, w/the finest quality workmanship, soaring ceilings, Chefâs dream kitchen, luxurious main master & spacious game room up. World-class amenities, nearby shopping/dining & top-rated schools.Restrictions: Yes  Sprinkler Sys:Yes",Single Family,30.359737396240234,-97.88495635986328,2,False,2005,3,8929.0,8.333333333333334,17,4.0,4,450000-650000
15044,austin,"Located in Allandale, this beautiful 3 bed 3 bath home w/ an optional 4th bed or study, offers an open floor plan concept welcomes w/ grand kitchen, large island & modern appliances. living room boasts a stone fireplace. Relax in comfy master, enjoy spacious bath w/ large shower, relish in the walk-in closet. Home has updated guest baths & garage w/ extra work-space. Entertain family & friends under the patio w/ built-in grill complete with a fridge & unwind by fire pit & fountain in the lovely backyard.",Single Family,30.334575653076172,-97.74605560302734,2,False,2015,1,11761.2,6.666666666666668,16,3.0,3,650000+
6003,austin,"Lovely brick home just steps from the park!  Meticulously maintained & tastefully decorated with neutral colors.  Kitchen opens to family room and offers breakfast bar, gas range, closet pantry and granite counters. Highly sought after plan with master bedroom down and 3 bedrooms plus a game room up.  Abundant storage and custom built-in cabinetry throughout.  Oversized 2-car garage.  Private backyard offers beautiful custom flagstone patio with built-in outdoor kitchen and fire pit. NEW roof in 2016. Entertainer's Dream!",Single Family,30.37012481689453,-97.89788818359376,0,False,1999,0,6795.0,8.666666666666666,17,3.0,4,350000-450000
3576,austin,"7714 Robalo Rd, Austin, TX 78757 is a single family home that contains 1,410 sq ft and was built in 1956. It contains 3 bedrooms and 1.5 bathrooms. 
 
",Single Family,30.350200653076172,-97.7221221923828,0,False,1956,0,8190.0,7.0,16,1.5,3,350000-450000
3741,austin,"11304 Maidenstone Dr, Austin, TX 78759 is a single family home that contains 1,400 sq ft and was built in 1977. It contains 3 bedrooms and 2 bathrooms. 
 
",Single Family,30.42680740356445,-97.77655792236328,0,False,1977,0,8712.0,9.0,16,2.0,3,350000-450000
14444,austin,"Stunning & spacious Cat Mountain home w/courtyard pool. Low maintenance lock & leave home w/ 3 outdoor patio areas to relax on. Loads of great finishes throughout. Chef's kitchen is open to the living and dining area, and a breakfast bar. Kitchen remodel in 2016 features Bosch appliances, gorgeous gray cabinets, and beautiful quartz countertops. Hardwood flooring throughout, installed in 2016. Upstairs has huge living area w/ 2 bedrooms and 3rd floor observatory has great panoramic views. Come & see!",Single Family,30.34827041625977,-97.77775573730469,2,False,1976,0,4748.0,7.0,16,3.0,3,650000+
6768,austin,"Gorgeous upgrades, splendid curb appeal, wide open living spaces, and a backyard fit for hosting. This well cared for home will set you apart in the neighborhood. Kitchen has been upgraded with quartz countertops, new cabinets, subway tile backsplash, and bar seating for breakfast with the family or happy hour appetizers. Low maintenance backyard with room for grilling, your fire pit, outdoor dining and plenty of room to play. 30 day lease back preferred.",Single Family,30.18207359313965,-97.8129425048828,2,False,2004,0,3702.0,3.333333333333333,14,3.0,4,250000-350000
5958,austin,"12504 Scates Ct, Austin, TX 78732 is a single family home that contains 3,476 sq ft and was built in 1998. It contains 3 bedrooms and 3.5 bathrooms. 
 
",Single Family,30.37546348571777,-97.89144897460938,2,False,1998,2,10863.0,8.333333333333334,17,3.5,3,450000-650000
11277,austin,"1014 Ellingson Ln, Austin, TX 78751 is a single family home that contains 1,036 sq ft and was built in 1942. It contains 2 bedrooms and 1 bathroom. 
 
",Single Family,30.30331802368164,-97.7178192138672,2,False,1942,0,6403.0,7.333333333333332,15,1.0,2,450000-650000
6363,austin,"Charming West Branch home on large, cul-ed-esac lot*Backs to wooded lot, creating great privacy in backyard*Updated kitchen w/granite counters, glass backsplash & stainless steel appl*Updated vanities in both baths*Ring security cameras & keyless entry*Updated light fixtures*Screened-in back porch to protect from bugs while enjoying the outdoors*Large backyard w/nice trees*Storage building*Desirable SW location w/great access to Mopac/downtown*Enjoy nearby Shops at Arbor Trails, hike/bike trails & HEB",Single Family,30.21230316162109,-97.8396224975586,0,False,1981,1,8668.0,4.666666666666667,14,2.0,3,250000-350000
13717,austin,"2506 Southland Dr, Austin, TX 78704 is a single family home that contains 786 sq ft and was built in 1963. It contains 3 bedrooms and 1 bathroom. 
 
",Single Family,30.24429130554199,-97.77581024169922,2,False,1963,2,7405.0,6.666666666666668,16,1.0,3,450000-650000
1925,austin,"Features include:- Upgraded Tile Flooring in Main Areas- 42"" Kitchen Cabinet Uppers- Alpine White Kitchen Cabinets- Blue Pearl Granite Kitchen Countertops - Storm Grey Bathroom Cabinets- Blanco Matrix Silestone Bathroom Countertops - Dual Sinks at Primary Bathroom - Extended Rear Covered Patio",Single Family,30.327680587768555,-97.57843780517578,3,False,2020,2,7405.0,4.666666666666667,11,3.0,3,350000-450000
10860,austin,"3000 Long Day Dr, Austin, TX 78754 is a single family home that contains 1,675 sq ft and was built in 2008. It contains 3 bedrooms and 2 bathrooms. 
 
",Single Family,30.363191604614247,-97.64436340332031,2,False,2008,2,8232.0,4.333333333333333,12,2.0,3,250000-350000
14748,austin,"2811 Hemphill Park, Austin, TX 78705 is a single family home that contains 3,512 sq ft and was built in 1965. It contains 7 bedrooms and 5 bathrooms. 
 
",Single Family,30.29424095153809,-97.7406997680664,1,False,1965,1,4965.0,7.333333333333332,15,5.0,7,650000+
8151,austin,"16306 Rockgate Dr, Austin, TX 78717 is a single family home that contains 2,705 sq ft and was built in 1987. It contains 4 bedrooms and 3 bathrooms. 
 
",Single Family,30.502988815307607,-97.7453384399414,0,False,1987,0,6969.0,7.666666666666668,16,3.0,4,350000-450000
1005,austin,"Well maintained home in a family orientated neighborhood. The living room is open to the large dine-in kitchen w/breakfast bar. The master retreat states relaxation. The master bath has double vanity sinks, tub, separate shower and a large window. The laundry room includes the washer and dryer.  Beautiful front and back yard with trees. Neighborhood features a community pool, playscapes, hiking and bike trails and basketball court. The home has easy access to major tolls, highways and airport.",Single Family,30.23992919921875,-97.5887451171875,2,False,2002,1,5314.0,3.0,13,2.0,3,0-250000
15132,austin,"MULTIPLE OFFERS RECEIVED...Best Deal in Brentwood! A beautifully remodeled contemporary single-family home in central Austin for under $500k! Just about NEW everything on this house with huge fenced in yard at approx .20 acres!  Buyer to verify, but lot is large enough for the Builder to add on an ADU/Garage Apartment!   Note: Street is now called William Holland Ave, but Tax records still reflect Jeff Davis Ave.",Single Family,30.33090591430664,-97.73644256591795,0,False,1951,0,8450.0,7.0,16,2.0,3,450000-650000
10145,austin,"MARCH 18, 2019 UPDATE WE JUST TOOK A $20,000 PRICE REDUCTION IT'S OUR WAY OF SAYING, ""COME BY THIS HOUSE"".   Prime Location.  Excellent Walkability.  Downtown Views.  2 XL Outdoor Living Areas with Views.  Synthetic Grass.  Private Master Suite on 3rd Floor w/ Pvt Deck.  Super cool master closet.  Living and kitchen on 2nd floor for views.  2 bedrooms and full bath on 1st Floor.  Corner Lot, no Shared Driveway.  Polished Concrete Floors, Covered Carport, Frigidaire Appliances w/ Downdraft. Open Floorplan.  Designer Selections.  Shaker Cabinets.  Quartz Counters. Frameless Glass Showers.  CAT 5E Cabling.  Perfect",Single Family,30.263843536376964,-97.71891784667969,1,False,2018,1,5880.0,5.0,11,4.0,3,350000-450000
14691,austin,"Adorable 1940s Bungalow. 1bed/1 bath. Original wood floors. Convenient floor plan with TONS of storage space (including an additional unconditioned 200sqft room where the washer/dryer is) + living room and breakfast nook/dining room. Freshly repainted walls and cabinetry, new windows (not pictured) and a/c units. Electric car charger in carport 1 yr old high-end Samsung washer/dryer and Bosch dishwasher.

The neighborhood: Very convenient and highly walkable. Located between to Seton Hospital and Camp Mabry and within 10 min walking distance to several great local restaurants including Olive & June, Kerbey Lane Cafe, Anderson Coffee, Pasta & Co, Tiny Boxwoods and Milk & Cookies as well as Randall's grocery. On the Bull Creek bike path, and very close to the Shoal Creek hike and bike path.

For commuting, it's easy to avoid rush hour-traffic to downtown (6 mins usual but 12 mins at rush hour), as well as North to the Domain ( 15mins) with access to Lamar and Shoal Creek thoroughfares, as well as the 35th and 45th street MoPac exits.

1 year leases. $1,395/mo. 

$1,395 security deposit. 

Renter pays utilities, which are not significant. 

No smoking, no pets.",Apartment,30.310680389404297,-97.751953125,6,False,1939,0,6490.0,6.0,16,2.0,2,450000-650000
6334,austin,"Beautiful home in desirable area near top-rated schools w/no HOA fees.  This 3BD/2.5BA home w/separate living, family room & open loft is warm & inviting from the moment you enter and is nestled in large shade trees.  New wood flooring on main level is highlighted by bright natural light in open rooms. Kitchen has new granite counters w/new stainless appliances.  Entrance has high ceilings in grand foyer entrance w/crown molding.  New roof installed in 2015.  Come see this one today!",Single Family,30.21876335144043,-97.86959075927734,2,False,1993,0,8973.0,8.0,17,3.0,3,350000-450000
10457,austin,"6907 Lunar Dr, Austin, TX 78745 is a single family home that contains 1,385 sq ft and was built in 1977. It contains 3 bedrooms and 2 bathrooms. 
 
",Single Family,30.191808700561523,-97.78400421142578,2,False,1977,0,7840.0,4.0,14,2.0,3,250000-350000
3006,austin,"Canyon views, resort style saltwater pool, multi-level deck, high-end chef's kitchen, open kitchen and living concept, expansive master suite with luxurious master bathroom and private balcony. Rare for the neighborhood, the home includes an oversized three car garage with a private storage room and overhead storage. Above the garage is a private studio/office. 1 acre of privacy, gorgeous views above the trees provides an oasis while still being only minutes from downtown Austin. Low maintenance yard with natural stone with an enclosed front yard. A resort style pool with a swim up bar, infinity edge, hot-tub, travertine stone decking, an outdoor kitchen and cabana and an attached HVAC'd bathroom provide endless entertainment options year round!",Single Family,30.37480926513672,-97.77043151855469,9,True,1990,0,39639.6,7.0,16,4.0,4,650000+
10386,austin,"You will love and adore this exceptional and well cared for home located in Williamson Creek! 2 Bedroom /1 Bathroom with a spacious front and backyard.  Incredible South Austin location with great access to I35 & Hwy 71 for those commuters, the airport, and the Circuit of the Americas. 15 minutes to Downtown Austin & all your favorite hot spots and outdoor activities.",Single Family,30.19681739807129,-97.73403930664062,1,False,1984,0,5619.0,4.333333333333333,14,1.0,2,0-250000
6101,austin,"3 minutes (.5 Mi) to Westlake High School. Cul de sac lot backing to open field.  Unique 2nd kitchen w/ two 4 burner gas cook-tops, large sink + a double oven in walled-in patio. Impressive 2 story foyer. Extensive tile floors. Generous size rooms. Guest bedroom & full bathroom downstairs.  Gourmet island kitchen open to the family room. A plethora of cabinet & storage space. Arched passage ways. 2 living areas down + a game & computer room upstairs. Patio w/ bench seating & a big, fenced back yard.",Single Family,30.27594566345215,-97.8195571899414,0,False,1998,0,11761.2,9.5,14,3.0,4,650000+
599,austin,"Charming single story home. Close access to major highways, employers, shopping. Easy access to airport. All hard surface floors in living areas. Modern kitchen with granite tops, tile backsplash and upgraded SS appliances. Lots of natural light throughout this home! Master suite is enormous and has 7 windows! Double vanity with mirror from vanity to ceiling. Walk-in tiled shower w/bench. Covered back patio for relaxing in the shade. Community park and gorgeous pool!",Single Family,30.17625617980957,-97.69580841064452,0,False,2015,0,6621.0,3.6666666666666665,12,2.0,3,250000-350000
14863,austin,"Contemporary design by Paradisa Homes features a wide open floor plan, flooded with natural light. Main level master suite with spa-like master bath which includes soaker tub and oversized walk-in shower. Gourmet chef's kitchen with Thermador appliances, quartz counters, under cabinet LED lighting and pot filler. Expanisve media room, prewired for projector and surround sound. Inviting 12' Fleetwood door incorporates the outdoor covered patio, spacious yard, and outdoor kitchen. Full smart home technology, pre-wired for surround sound, cameras, and security.",Single Family,30.34490966796875,-97.7492218017578,2,False,2018,0,8712.0,6.666666666666668,16,3.0,4,250000-350000
