id,StudyTime,Tutoring,OnlineCourse,Absences,Failures,Score
90,3,Yes,Yes,4.0,0.0,17
91,1,No,Yes,2.0,1.0,15
92,2,Yes,Yes,2.0,1.0,17
93,2,Yes,No,2.0,1.0,14
94,2,Yes,Yes,3.0,0.0,16
95,2,Yes,No,3.0,0.0,16
96,1,No,Yes,11.0,0.0,8
97,1,Yes,Yes,4.0,2.0,10
98,1,Yes,No,6.0,1.0,13
99,1,No,No,3.0,0.0,14
100,2,Yes,No,5.0,1.0,18
101,2,Yes,Yes,3.0,2.0,16
102,0,No,No,3.0,0.0,16
103,2,Yes,No,3.0,0.0,19
104,4,No,No,,,19
105,0,Yes,No,3.0,0.0,11
106,0,No,No,3.0,0.0,18
107,2,Yes,No,,,15
108,4,Yes,Yes,2.0,0.0,13
109,0,Yes,No,4.0,0.0,14
110,1,No,No,5.0,1.0,13
111,0,No,No,3.0,0.0,15
112,1,Yes,Yes,4.0,0.0,14
113,2,Yes,No,6.0,1.0,18
114,1,Yes,No,4.0,0.0,20
115,1,No,Yes,4.0,2.0,13
116,1,Yes,Yes,1.0,0.0,11
117,2,Yes,No,5.0,1.0,17
118,2,Yes,No,6.0,0.0,17
119,2,Yes,No,6.0,0.0,16
120,2,Yes,No,9.0,1.0,10
121,2,No,No,5.0,0.0,12
122,4,Yes,Yes,3.0,0.0,15
123,0,Yes,No,5.0,0.0,13
124,4,Yes,Yes,7.0,0.0,12
125,0,No,Yes,4.0,0.0,20
126,3,Yes,Yes,3.0,2.0,12
127,2,Yes,No,1.0,0.0,18
128,2,No,No,3.0,1.0,16
129,2,Yes,Yes,5.0,0.0,16
130,2,No,Yes,6.0,3.0,18
131,2,Yes,Yes,3.0,0.0,12
132,0,Yes,No,4.0,0.0,14
133,2,Yes,No,6.0,0.0,16
134,1,Yes,Yes,9.0,1.0,9
135,1,No,No,3.0,0.0,19
136,1,Yes,No,5.0,1.0,15
137,3,Yes,Yes,2.0,1.0,12
138,2,Yes,Yes,6.0,0.0,18
139,4,Yes,Yes,8.0,1.0,15
140,1,Yes,No,4.0,0.0,12
141,0,No,No,6.0,0.0,17
142,1,No,Yes,8.0,0.0,8
143,0,Yes,Yes,5.0,1.0,16
144,2,Yes,No,3.0,0.0,18
145,0,Yes,No,,,12
146,2,Yes,No,0.0,0.0,11
147,3,Yes,No,4.0,1.0,16
148,1,Yes,Yes,4.0,0.0,12
149,1,Yes,No,2.0,0.0,20
150,1,Yes,Yes,5.0,0.0,13
151,2,Yes,Yes,4.0,0.0,14
152,1,Yes,No,5.0,0.0,16
153,4,No,No,4.0,0.0,9
154,0,Yes,No,1.0,0.0,15
155,0,Yes,Yes,2.0,0.0,18
156,2,Yes,Yes,3.0,0.0,14
157,0,No,No,3.0,1.0,11
158,1,Yes,No,4.0,0.0,13
159,1,Yes,No,3.0,0.0,9
160,1,Yes,Yes,4.0,0.0,14
161,4,Yes,No,4.0,3.0,18
162,1,No,No,,,13
163,0,Yes,No,4.0,0.0,17
164,0,No,No,1.0,0.0,10
165,1,Yes,Yes,0.0,0.0,20
166,3,Yes,No,5.0,1.0,18
167,1,No,Yes,3.0,0.0,13
168,2,No,Yes,6.0,0.0,11
169,4,No,No,2.0,0.0,13
170,1,Yes,No,6.0,0.0,15
171,2,No,No,2.0,0.0,18
172,2,No,Yes,3.0,1.0,8
173,2,Yes,Yes,1.0,0.0,18
174,4,Yes,Yes,4.0,1.0,15
175,2,Yes,No,4.0,0.0,11
176,0,Yes,Yes,1.0,1.0,7
177,0,Yes,No,4.0,0.0,15
178,0,No,No,1.0,0.0,15
179,1,Yes,Yes,4.0,0.0,13
180,1,Yes,No,1.0,0.0,17
181,3,Yes,Yes,6.0,0.0,20
182,2,No,No,8.0,1.0,13
183,4,No,No,,,12
184,2,Yes,No,4.0,0.0,20
185,3,No,Yes,6.0,1.0,14
186,0,Yes,Yes,4.0,1.0,16
187,2,Yes,Yes,2.0,0.0,13
188,0,No,Yes,7.0,3.0,18
189,2,No,No,2.0,0.0,11
190,3,No,Yes,1.0,0.0,15
191,1,No,Yes,6.0,0.0,15
192,0,Yes,Yes,5.0,0.0,14
193,1,Yes,No,2.0,0.0,13
194,3,No,Yes,8.0,1.0,20
195,2,Yes,Yes,1.0,0.0,17
196,2,No,Yes,2.0,0.0,12
197,2,Yes,Yes,3.0,1.0,9
198,1,Yes,No,0.0,2.0,19
199,3,No,No,3.0,0.0,12
200,2,Yes,No,2.0,1.0,15
201,2,Yes,Yes,2.0,3.0,15
202,4,Yes,Yes,1.0,0.0,15
203,1,No,Yes,7.0,0.0,9
204,0,Yes,No,3.0,0.0,13
205,2,Yes,Yes,8.0,0.0,14
206,2,No,Yes,6.0,0.0,14
207,0,Yes,Yes,2.0,2.0,17
208,0,Yes,Yes,7.0,0.0,15
209,0,No,No,3.0,0.0,16
210,2,No,No,6.0,0.0,13
211,1,Yes,Yes,6.0,1.0,20
212,3,No,Yes,,,14
213,2,Yes,Yes,5.0,0.0,15
214,4,Yes,Yes,7.0,2.0,15
215,1,Yes,Yes,6.0,0.0,16
216,4,Yes,No,5.0,0.0,18
217,4,No,No,3.0,0.0,12
218,0,No,Yes,3.0,0.0,17
219,0,Yes,No,5.0,1.0,17
220,1,Yes,No,3.0,0.0,15
221,1,Yes,Yes,1.0,0.0,15
222,2,Yes,Yes,6.0,0.0,11
223,0,Yes,No,3.0,0.0,13
224,2,Yes,Yes,5.0,2.0,9
225,1,Yes,Yes,8.0,0.0,14
226,0,Yes,No,5.0,1.0,14
227,2,Yes,Yes,1.0,0.0,10
228,0,Yes,Yes,3.0,0.0,15
229,2,Yes,Yes,3.0,0.0,18
230,0,No,No,4.0,2.0,15
231,2,Yes,No,3.0,0.0,14
232,2,Yes,No,4.0,0.0,13
233,2,No,No,1.0,0.0,16
234,1,Yes,Yes,,,11
235,1,No,No,8.0,0.0,7
236,3,Yes,No,4.0,0.0,19
237,0,No,No,5.0,0.0,17
238,4,No,Yes,2.0,0.0,11
239,2,No,No,4.0,1.0,10
240,2,Yes,Yes,3.0,0.0,15
241,4,Yes,Yes,6.0,0.0,15
242,2,No,Yes,,,17
243,0,No,Yes,4.0,0.0,13
244,1,No,Yes,5.0,0.0,18
245,2,No,Yes,5.0,1.0,14
246,2,No,No,,,18
247,0,Yes,No,6.0,0.0,14
248,1,No,No,7.0,2.0,12
249,2,Yes,Yes,5.0,0.0,13
250,2,Yes,No,3.0,0.0,16
251,3,No,Yes,8.0,0.0,16
252,4,No,Yes,4.0,2.0,15
253,3,No,Yes,4.0,0.0,11
254,2,Yes,Yes,5.0,0.0,14
255,2,Yes,Yes,,,13
256,1,No,Yes,4.0,2.0,12
257,3,Yes,Yes,6.0,0.0,17
258,3,No,No,4.0,0.0,12
259,2,No,No,6.0,0.0,12
260,2,No,Yes,5.0,0.0,15
261,3,Yes,Yes,,,12
262,3,Yes,No,6.0,0.0,13
263,3,Yes,Yes,,,20
264,3,Yes,No,3.0,0.0,14
265,2,No,Yes,2.0,2.0,17
266,1,Yes,No,5.0,0.0,20
267,2,Yes,No,2.0,0.0,15
268,2,Yes,No,5.0,0.0,16
269,3,Yes,Yes,3.0,0.0,15
270,1,No,Yes,4.0,1.0,14
271,1,Yes,Yes,4.0,0.0,15
272,2,Yes,No,3.0,1.0,14
273,4,Yes,No,,,12
274,1,Yes,Yes,6.0,0.0,17
275,0,No,Yes,4.0,0.0,9
276,2,No,Yes,5.0,0.0,15
277,2,Yes,No,9.0,0.0,14
278,3,No,No,5.0,1.0,11
279,3,Yes,Yes,8.0,1.0,16
280,1,No,Yes,4.0,1.0,11
281,0,No,Yes,3.0,0.0,13
282,2,No,No,2.0,0.0,17
283,2,No,No,8.0,0.0,9
284,0,Yes,Yes,1.0,2.0,18
285,4,Yes,Yes,3.0,2.0,14
286,3,No,Yes,1.0,0.0,14
287,2,No,No,3.0,2.0,10
288,0,No,Yes,3.0,1.0,15
289,1,No,No,4.0,0.0,15
290,1,Yes,No,4.0,0.0,16
291,0,Yes,No,3.0,0.0,13
292,3,Yes,Yes,4.0,1.0,12
293,0,Yes,No,8.0,0.0,15
294,1,Yes,Yes,4.0,0.0,13
295,1,No,Yes,6.0,0.0,16
296,1,No,No,10.0,0.0,11
297,1,Yes,Yes,3.0,0.0,17
298,4,No,No,3.0,2.0,19
299,4,No,Yes,5.0,0.0,14
300,2,Yes,Yes,2.0,1.0,19
301,0,No,Yes,3.0,0.0,17
302,2,Yes,Yes,,,16
303,4,Yes,Yes,2.0,0.0,14
304,4,No,Yes,5.0,3.0,13
305,2,Yes,Yes,,,18
306,0,Yes,No,5.0,0.0,17
307,3,Yes,Yes,4.0,2.0,11
308,2,No,No,3.0,0.0,15
309,1,Yes,Yes,4.0,0.0,12
310,0,Yes,Yes,5.0,0.0,16
311,1,No,Yes,2.0,0.0,17
312,2,No,Yes,4.0,1.0,10
313,1,Yes,No,4.0,0.0,14
314,1,Yes,Yes,4.0,1.0,16
315,2,Yes,Yes,3.0,3.0,15
316,4,No,Yes,4.0,2.0,20
317,0,No,Yes,4.0,0.0,10
318,2,Yes,No,4.0,0.0,19
319,0,Yes,No,2.0,0.0,12
320,3,No,Yes,7.0,1.0,8
321,2,No,No,2.0,0.0,15
322,1,Yes,Yes,1.0,0.0,14
323,2,Yes,Yes,2.0,0.0,15
324,2,Yes,Yes,,,16
325,2,No,Yes,3.0,0.0,16
326,4,Yes,No,3.0,0.0,13
327,4,Yes,Yes,5.0,0.0,17
328,0,Yes,No,5.0,0.0,8
329,2,No,No,4.0,0.0,14
330,2,Yes,Yes,2.0,0.0,18
331,2,Yes,No,3.0,0.0,15
332,3,Yes,No,4.0,2.0,15
333,2,Yes,No,4.0,0.0,13
334,1,Yes,Yes,5.0,0.0,16
335,2,Yes,Yes,3.0,2.0,14
336,1,Yes,No,3.0,0.0,16
337,1,No,Yes,4.0,0.0,13
338,2,No,No,8.0,0.0,19
339,1,No,No,3.0,1.0,16
340,2,No,No,,,20
341,3,Yes,Yes,2.0,0.0,13
342,4,No,Yes,3.0,0.0,18
343,0,Yes,Yes,4.0,1.0,11
344,1,Yes,Yes,1.0,0.0,17
345,2,No,No,6.0,1.0,14
346,2,Yes,Yes,4.0,0.0,15
347,0,Yes,No,3.0,0.0,17
348,1,Yes,No,1.0,3.0,17
349,2,No,Yes,4.0,0.0,17
350,1,Yes,No,4.0,0.0,16
351,2,No,Yes,3.0,0.0,16
352,2,Yes,Yes,6.0,0.0,14
353,3,Yes,No,4.0,2.0,13
354,3,Yes,Yes,7.0,0.0,15
355,1,Yes,Yes,6.0,0.0,8
356,1,Yes,Yes,2.0,0.0,16
357,1,No,No,2.0,1.0,17
358,1,Yes,No,0.0,0.0,16
359,2,Yes,No,4.0,0.0,13
360,1,No,Yes,2.0,0.0,8
361,0,No,No,4.0,0.0,16
362,0,No,Yes,4.0,0.0,12
363,1,No,Yes,4.0,2.0,11
364,1,Yes,Yes,5.0,0.0,17
365,0,Yes,Yes,4.0,0.0,10
366,2,Yes,No,3.0,1.0,14
367,3,Yes,No,3.0,0.0,20
368,1,Yes,Yes,5.0,0.0,12
369,3,Yes,Yes,2.0,1.0,11
370,0,No,No,2.0,0.0,16
371,0,No,No,3.0,2.0,15
372,3,No,Yes,4.0,0.0,10
373,4,Yes,Yes,4.0,0.0,15
374,1,No,No,5.0,0.0,18
375,2,No,Yes,4.0,1.0,19
376,2,Yes,No,3.0,2.0,14
377,2,Yes,Yes,2.0,0.0,16
378,2,Yes,No,3.0,2.0,16
379,1,No,Yes,4.0,2.0,18
380,0,Yes,No,4.0,1.0,14
381,0,Yes,Yes,6.0,1.0,18
382,0,Yes,No,7.0,0.0,12
383,0,Yes,Yes,0.0,0.0,17
384,0,Yes,Yes,3.0,0.0,11
385,0,Yes,No,4.0,0.0,9
386,0,No,No,4.0,0.0,16
387,2,No,No,5.0,2.0,20
388,0,No,Yes,4.0,0.0,15
389,4,Yes,Yes,5.0,0.0,14
390,2,Yes,Yes,2.0,0.0,18
391,3,No,No,10.0,3.0,13
392,1,No,Yes,5.0,2.0,9
393,0,No,No,4.0,0.0,17
394,3,No,No,8.0,0.0,19
395,1,No,Yes,6.0,0.0,15
396,0,No,No,0.0,0.0,15
397,0,Yes,No,3.0,0.0,13
398,2,No,No,4.0,0.0,14
399,1,No,No,4.0,0.0,15
400,0,No,Yes,3.0,0.0,15
401,2,No,Yes,6.0,0.0,15
402,4,No,No,4.0,1.0,5
403,2,Yes,No,5.0,0.0,15
404,0,Yes,No,1.0,1.0,11
405,1,Yes,No,,,16
406,2,No,No,3.0,0.0,18
407,0,Yes,No,4.0,0.0,16
408,2,Yes,Yes,3.0,1.0,11
409,2,No,Yes,5.0,0.0,12
410,0,No,Yes,3.0,0.0,14
411,2,No,Yes,,,17
412,3,Yes,No,6.0,0.0,17
413,2,Yes,Yes,6.0,0.0,16
414,3,No,No,4.0,1.0,12
415,2,No,No,3.0,0.0,18
416,2,Yes,Yes,6.0,0.0,14
417,3,Yes,Yes,3.0,0.0,13
418,1,Yes,Yes,3.0,0.0,13
419,0,Yes,No,4.0,1.0,10
420,0,No,Yes,3.0,0.0,18
421,4,No,No,,,14
422,2,Yes,Yes,5.0,0.0,12
423,2,Yes,Yes,6.0,0.0,16
424,2,Yes,Yes,6.0,0.0,17
425,2,No,Yes,3.0,0.0,9
426,2,No,Yes,8.0,0.0,19
427,1,Yes,Yes,2.0,2.0,20
428,3,Yes,No,2.0,0.0,15
429,0,No,Yes,5.0,0.0,15
430,2,Yes,No,2.0,0.0,20
431,2,Yes,Yes,3.0,0.0,11
432,0,Yes,Yes,12.0,0.0,13
433,1,Yes,Yes,6.0,0.0,16
434,2,No,Yes,5.0,2.0,18
435,1,No,No,1.0,1.0,15
436,2,Yes,Yes,4.0,0.0,12
437,0,No,No,5.0,1.0,18
438,1,No,Yes,4.0,2.0,14
439,3,Yes,Yes,3.0,0.0,15
440,1,No,No,4.0,0.0,17
441,3,Yes,Yes,7.0,0.0,19
442,1,Yes,No,1.0,0.0,15
443,1,Yes,Yes,4.0,0.0,16
444,2,No,Yes,3.0,0.0,18
445,2,No,No,3.0,0.0,14
446,4,Yes,No,7.0,0.0,13
447,1,No,No,5.0,0.0,13
448,2,Yes,No,,,12
449,2,Yes,No,5.0,0.0,11
450,2,Yes,No,3.0,3.0,20
451,1,No,No,2.0,0.0,12
452,2,Yes,Yes,6.0,1.0,15
453,2,Yes,No,4.0,0.0,14
454,4,Yes,No,7.0,0.0,18
455,4,No,Yes,9.0,0.0,15
456,1,Yes,No,5.0,0.0,19
457,2,Yes,No,5.0,1.0,14
458,3,Yes,Yes,0.0,0.0,15
459,4,Yes,Yes,5.0,0.0,17
460,0,Yes,No,2.0,0.0,15
461,3,Yes,Yes,6.0,1.0,16
462,1,No,No,6.0,1.0,15
463,2,No,No,8.0,0.0,10
464,2,Yes,No,3.0,0.0,17
465,3,Yes,Yes,6.0,1.0,18
466,3,Yes,No,5.0,1.0,14
467,3,Yes,Yes,2.0,1.0,14
468,2,Yes,Yes,1.0,0.0,15
469,1,No,No,3.0,1.0,20
470,0,Yes,Yes,2.0,0.0,14
471,0,No,Yes,4.0,0.0,16
472,0,Yes,No,3.0,2.0,14
473,3,Yes,Yes,,,16
474,1,No,Yes,5.0,0.0,11
475,4,No,No,6.0,2.0,20
476,2,No,Yes,2.0,2.0,16
477,4,Yes,Yes,4.0,1.0,14
478,3,Yes,Yes,8.0,0.0,14
479,2,Yes,No,4.0,1.0,15
480,1,No,Yes,4.0,0.0,20
481,1,Yes,Yes,5.0,0.0,19
482,1,Yes,Yes,4.0,0.0,14
483,0,Yes,No,4.0,0.0,15
484,2,Yes,Yes,3.0,0.0,15
485,2,Yes,Yes,4.0,0.0,9
486,0,No,No,4.0,0.0,14
487,3,No,Yes,1.0,0.0,15
488,3,No,Yes,9.0,0.0,12
489,0,No,Yes,5.0,0.0,20
490,1,No,Yes,5.0,0.0,11
491,1,Yes,Yes,5.0,1.0,11
492,2,No,Yes,2.0,0.0,17
493,3,No,Yes,2.0,2.0,15
494,2,Yes,Yes,1.0,0.0,13
495,2,Yes,Yes,10.0,0.0,18
496,1,No,No,1.0,0.0,15
497,2,Yes,Yes,5.0,0.0,20
498,1,No,No,3.0,0.0,9
499,2,Yes,Yes,0.0,1.0,13
500,1,Yes,No,3.0,0.0,19
