"...1","id","gender","math","daysabs","prog"
95,1095,"female",10,7,"Academic"
96,1096,"male",14,1,"Academic"
97,1097,"male",20,9,"Academic"
98,1098,"male",11,11,"Academic"
99,1099,"male",42,18,"Academic"
100,1100,"male",2,12,"Academic"
101,1101,"male",24,6,"General"
102,1102,"male",37,0,"Academic"
103,1103,"male",13,4,"Academic"
104,1104,"male",3,10,"Academic"
105,1105,"male",70,19,"General"
106,1106,"female",27,1,"Academic"
107,1107,"female",1,12,"General"
108,1108,"female",61,3,"Academic"
109,1109,"male",44,0,"Academic"
110,1110,"male",35,9,"Academic"
111,1111,"male",78,14,"Academic"
112,1112,"female",3,7,"Academic"
113,1113,"male",21,3,"Academic"
114,1114,"male",26,10,"Academic"
115,1115,"male",44,12,"Academic"
116,1116,"female",47,6,"Academic"
117,1117,"female",35,35,"Academic"
118,1118,"female",8,16,"General"
119,1119,"female",87,3,"Academic"
120,1120,"male",3,10,"Academic"
121,1121,"male",6,6,"Academic"
122,1122,"male",89,3,"General"
123,1123,"male",13,2,"Academic"
124,1124,"male",84,6,"Academic"
125,1125,"male",90,5,"Academic"
126,1126,"female",71,13,"Academic"
127,1127,"female",15,7,"General"
128,1128,"female",41,5,"Academic"
129,1129,"female",63,3,"Academic"
130,1130,"female",34,30,"Academic"
131,1131,"female",45,16,"Academic"
132,1132,"female",29,15,"Academic"
133,1133,"female",3,12,"Academic"
134,1134,"male",35,1,"Academic"
135,1135,"male",32,4,"General"
136,1136,"male",22,7,"Academic"
137,1137,"female",81,1,"Academic"
138,1139,"female",73,10,"Academic"
139,1140,"male",69,3,"Academic"
140,1141,"female",27,30,"General"
141,1142,"female",13,2,"Academic"
142,1143,"female",76,13,"Academic"
143,1144,"female",7,5,"General"
144,1145,"male",59,5,"Academic"
145,1146,"female",29,5,"Academic"
146,1147,"female",57,4,"Academic"
147,1148,"female",44,3,"Academic"
148,1149,"female",53,20,"Academic"
149,1150,"female",23,12,"Academic"
150,1151,"female",29,34,"General"
151,1152,"male",40,6,"Academic"
152,1153,"male",49,14,"Academic"
153,1154,"female",38,16,"General"
154,1155,"male",31,9,"General"
155,1156,"female",21,15,"General"
156,1157,"male",8,15,"General"
157,1158,"male",37,0,"Academic"
158,1159,"male",53,1,"Academic"
159,2001,"female",31,4,"Vocational"
160,2002,"male",57,0,"Vocational"
161,2003,"male",57,0,"Vocational"
162,2004,"male",59,2,"Vocational"
163,2005,"female",29,1,"Vocational"
164,2006,"female",41,2,"Academic"
165,2007,"male",71,0,"Vocational"
166,2008,"female",59,0,"Vocational"
167,2009,"male",71,0,"Vocational"
168,2010,"female",70,7,"Vocational"
169,2011,"male",77,2,"Vocational"
170,2012,"female",70,9,"Academic"
171,2013,"female",87,6,"Vocational"
172,2014,"male",59,4,"Vocational"
173,2015,"male",65,1,"Vocational"
174,2016,"female",28,7,"Academic"
175,2017,"male",77,0,"Vocational"
176,2018,"male",65,0,"Vocational"
177,2019,"female",73,4,"Vocational"
178,2020,"male",99,2,"Academic"
179,2021,"female",57,0,"Vocational"
180,2022,"female",77,4,"Vocational"
181,2023,"female",57,2,"Academic"
182,2024,"female",47,21,"General"
183,2025,"female",24,1,"Vocational"
184,2026,"male",84,0,"Vocational"
185,2027,"female",73,1,"Vocational"
186,2028,"male",81,16,"Vocational"
187,2029,"female",52,9,"General"
188,2030,"female",75,16,"Vocational"
189,2031,"male",65,0,"Academic"
190,2032,"female",44,11,"General"
191,2033,"male",44,1,"Vocational"
192,2034,"female",79,2,"Vocational"
193,2035,"female",20,3,"Vocational"
194,2036,"female",16,4,"Academic"
195,2037,"female",99,2,"Academic"
196,2038,"female",71,7,"General"
197,2039,"male",46,7,"Vocational"
198,2040,"female",57,0,"Academic"
199,2041,"female",67,1,"Academic"
200,2042,"female",87,1,"Vocational"
201,2043,"female",70,0,"Vocational"
202,2044,"female",21,13,"Vocational"
203,2045,"female",31,1,"Vocational"
204,2046,"male",63,0,"Vocational"
205,2047,"female",44,1,"Academic"
206,2048,"male",34,0,"Vocational"
207,2049,"female",77,4,"General"
208,2050,"female",94,0,"Vocational"
209,2051,"female",41,4,"General"
210,2052,"female",67,0,"Vocational"
211,2053,"female",61,2,"Vocational"
212,2054,"male",82,0,"Vocational"
213,2055,"female",63,4,"General"
214,2056,"male",63,0,"Vocational"
215,2057,"female",77,4,"Vocational"
216,2058,"male",46,3,"Vocational"
217,2059,"male",8,1,"Vocational"
218,2060,"female",61,0,"Academic"
219,2061,"female",71,1,"Academic"
220,2062,"female",65,4,"Vocational"
221,2063,"female",41,1,"Academic"
222,2064,"male",16,9,"Academic"
223,2065,"female",22,0,"Vocational"
224,2066,"male",57,4,"Academic"
225,2067,"female",51,8,"Academic"
226,2068,"male",74,13,"Academic"
227,2069,"male",41,0,"Vocational"
228,2070,"male",87,0,"Vocational"
229,2071,"male",67,0,"Vocational"
230,2072,"female",99,0,"Academic"
231,2073,"female",63,2,"Academic"
232,2074,"female",65,5,"Vocational"
233,2075,"female",71,1,"Vocational"
234,2076,"male",77,0,"Vocational"
235,2077,"female",67,3,"General"
236,2078,"female",79,1,"Academic"
237,2079,"female",20,2,"Vocational"
238,2080,"male",84,4,"General"
239,2081,"male",28,5,"Academic"
240,2082,"female",20,3,"Vocational"
241,2083,"male",26,1,"Vocational"
242,2084,"female",75,3,"Academic"
243,2085,"female",63,6,"Vocational"
244,2086,"male",39,8,"Vocational"
245,2087,"male",32,21,"Academic"
246,2088,"male",15,1,"Academic"
247,2089,"female",55,7,"Vocational"
248,2090,"female",32,5,"Academic"
249,2091,"male",34,1,"Academic"
250,2092,"female",67,1,"Vocational"
251,2093,"female",41,0,"Vocational"
252,2094,"male",41,4,"Vocational"
253,2095,"female",29,0,"Academic"
254,2096,"male",43,14,"Vocational"
255,2097,"female",77,2,"Academic"
256,2098,"female",53,2,"Vocational"
257,2099,"female",44,2,"Vocational"
258,2100,"male",51,0,"Vocational"
259,2101,"male",67,1,"Vocational"
260,2102,"male",49,19,"Vocational"
261,2103,"female",37,2,"Academic"
262,2104,"male",65,11,"Vocational"
263,2105,"male",43,3,"General"
264,2106,"female",48,5,"Academic"
265,2107,"female",99,16,"General"
266,2108,"female",34,0,"Vocational"
267,2109,"male",87,5,"Vocational"
268,2110,"male",75,3,"Vocational"
269,2111,"female",57,2,"Academic"
270,2112,"male",61,2,"Vocational"
271,2113,"male",73,8,"General"
272,2114,"female",70,0,"Vocational"
273,2115,"female",99,3,"Vocational"
274,2116,"male",73,0,"Vocational"
275,2117,"male",66,1,"Vocational"
276,2118,"male",57,9,"Academic"
277,2119,"male",77,1,"Vocational"
278,2120,"male",53,0,"Vocational"
279,2121,"male",73,0,"Vocational"
280,2122,"male",84,1,"Vocational"
281,2123,"male",83,12,"Academic"
282,2124,"female",77,3,"Vocational"
283,2125,"male",44,0,"Vocational"
284,2126,"female",79,1,"Vocational"
285,2127,"male",53,8,"General"
286,2128,"female",43,1,"Vocational"
287,2129,"male",46,1,"Vocational"
288,2130,"female",35,7,"Academic"
289,2131,"female",63,6,"Vocational"
290,2132,"female",75,0,"Vocational"
291,2133,"female",84,8,"Vocational"
292,2134,"male",41,0,"Academic"
293,2135,"female",32,1,"Vocational"
294,2136,"male",12,0,"Academic"
295,2137,"male",61,4,"Vocational"
296,2138,"female",99,17,"Academic"
297,2139,"male",67,9,"General"
298,2140,"female",35,0,"Vocational"
299,2141,"female",70,0,"Vocational"
300,2142,"female",87,1,"Vocational"
301,2143,"male",70,3,"Vocational"
302,2144,"male",57,1,"Academic"
303,2145,"male",44,2,"Vocational"
304,2146,"female",26,2,"Vocational"
305,2147,"male",63,2,"Vocational"
306,2148,"female",8,5,"Academic"
307,2150,"male",63,3,"Vocational"
308,2151,"female",59,7,"Vocational"
309,2152,"female",46,1,"Vocational"
310,2153,"male",26,1,"Academic"
311,2154,"female",79,3,"Vocational"
312,2155,"female",59,0,"Academic"
313,2156,"female",90,0,"Vocational"
314,2157,"female",77,2,"Vocational"
